Type,Round,Test Part,Presicion,Recall,F1-score,U-score
test-score,1,,0.8676470588235294,0.19732441471571907,0.3215258855585831,
Un-score,1,0,,,,0.1609019658806576
test-score,2,,0.8695652173913043,0.14388489208633093,0.24691358024691357,
Un-score,2,1,,,,0.1436442943037525
test-score,3,,0.7466666666666667,0.22580645161290322,0.34674922600619196,
Un-score,3,2,,,,0.17200263760847045
test-score,4,,0.8636363636363636,0.18719211822660098,0.30769230769230765,
Un-score,4,3,,,,0.16482582935511114
test-score,5,,1.0,0.10328638497652583,0.1872340425531915,
Un-score,5,4,,,,0.15350922715400517
test-score,6,,0.9411764705882353,0.06015037593984962,0.11307420494699646,
Un-score,6,5,,,,0.14660549449870675
test-score,7,,0.9428571428571428,0.1542056074766355,0.2650602409638554,
Un-score,7,6,,,,0.19382727945608128
test-score,8,,0.9,0.24324324324324326,0.3829787234042553,
Un-score,8,7,,,,0.21157861215655863
test-score,9,,0.9807692307692307,0.2512315270935961,0.39999999999999997,
Un-score,9,8,,,,0.20855240047685317
test-score,10,,1.0,0.3894736842105263,0.5606060606060607,
Un-score,10,9,,,,0.19614048308068463
test-score,11,,0.9473684210526315,0.19672131147540983,0.32579185520361986,
Un-score,11,10,,,,0.1768128548316037
