,Presicion,Recall,F1-score,data/ws2\ws-001.txt,data/ws2\ws-002.txt,data/ws2\ws-004.txt,data/ws2\ws-005.txt,data/ws2\ws-006.txt,data/ws2\ws-007.txt,data/ws2\ws-008.txt,data/ws2\ws-009.txt,data/ws2\ws-010.txt,data/ws2\ws-011.txt,data/ws2\ws-012.txt
1,0.797752808988764,0.23745819397993312,0.365979381443299,0.1619138677765506,,,,,,,,,,
2,0.8461538461538461,0.15827338129496402,0.2666666666666666,,0.13956388262443398,,,,,,,,,
3,0.6867469879518072,0.22983870967741934,0.3444108761329305,,,0.18748334845832312,,,,,,,,
4,0.9411764705882353,0.15763546798029557,0.27004219409282704,,,,0.18473971443853687,,,,,,,
5,1.0,0.10328638497652583,0.1872340425531915,,,,,0.16868920074469407,,,,,,
6,0.9411764705882353,0.06015037593984962,0.11307420494699646,,,,,,0.15320886397706485,,,,,
7,0.9696969696969697,0.14953271028037382,0.2591093117408907,,,,,,,0.16909442793395693,,,,
8,0.9574468085106383,0.24324324324324326,0.3879310344827586,,,,,,,,0.19959238783437333,,,
9,0.9807692307692307,0.2512315270935961,0.39999999999999997,,,,,,,,,0.19946524852296899,,
10,1.0,0.3894736842105263,0.5606060606060607,,,,,,,,,,0.20585883265467023,
11,0.9473684210526315,0.19672131147540983,0.32579185520361986,,,,,,,,,,,0.18590129873128625
Avr,0.9152989103909416,0.19789499910473965,0.3164405116244764,0.1619138677765506,0.13956388262443398,0.18748334845832312,0.18473971443853687,0.16868920074469407,0.15320886397706485,0.16909442793395693,0.19959238783437333,0.19946524852296899,0.20585883265467023,0.18590129873128625
Max,1.0,0.3894736842105263,0.5606060606060607,0.1619138677765506,0.13956388262443398,0.18748334845832312,0.18473971443853687,0.16868920074469407,0.15320886397706485,0.16909442793395693,0.19959238783437333,0.19946524852296899,0.20585883265467023,0.18590129873128625
Slope,0.020434245906345447,0.009115973883799148,0.013174911510254104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AllTextCount,,,,1582.0,823.0,1347.0,989.0,1193.0,1541.0,1150.0,831.0,923.0,1100.0,1079.0
AllSegCount,,,,297.0,138.0,242.0,184.0,192.0,262.0,186.0,140.0,152.0,119.0,147.0
,,,,5.326599326599327,5.963768115942029,5.566115702479339,5.375,6.213541666666667,5.8816793893129775,6.182795698924731,5.935714285714286,6.072368421052632,9.243697478991596,7.340136054421769
