Type,Round,Test Part,Presicion,Recall,F1-score,U-score
test-score,1,,0.9732142857142857,0.2540792540792541,0.4029574861367837,
Un-score,1,1,,,,0.23046117516540485
Un-score,1,2,,,,0.23291402077031392
Un-score,1,3,,,,0.23059912987330602
Un-score,1,4,,,,0.23298493688876803
Un-score,1,5,,,,0.2298050319975508
Un-score,1,6,,,,0.2305651911416075
Un-score,1,7,,,,0.22954217812154387
Un-score,1,8,,,,0.23255374702185078
Un-score,1,9,,,,0.2330450904440133
test-score,2,,0.990909090909091,0.2540792540792541,0.40445269016697594,
Un-score,2,1,,,,0.2245966991254327
Un-score,2,2,,,,0.22395706093666265
Un-score,2,3,,,,0.22488754084497914
Un-score,2,4,,,,0.22406503865534866
Un-score,2,5,,,,0.22545385125555284
Un-score,2,6,,,,0.2246860930291191
Un-score,2,7,,,,0.22488504802622575
Un-score,2,8,,,,0.22363392541484045
test-score,3,,0.990909090909091,0.2540792540792541,0.40445269016697594,
Un-score,3,1,,,,0.25374469072578115
Un-score,3,2,,,,0.252563870911455
Un-score,3,3,,,,0.25411077611350186
Un-score,3,4,,,,0.25293629916400634
Un-score,3,6,,,,0.25393185568287413
Un-score,3,7,,,,0.2540502359124872
Un-score,3,8,,,,0.25210135309326454
test-score,4,,0.990909090909091,0.2540792540792541,0.40445269016697594,
Un-score,4,1,,,,0.22801906867913957
Un-score,4,2,,,,0.2279613697321888
Un-score,4,4,,,,0.22793134714419097
Un-score,4,6,,,,0.22836248884650814
Un-score,4,7,,,,0.22827452460406822
Un-score,4,8,,,,0.2276226623957875
test-score,5,,1.0,0.2494172494172494,0.3992537313432836,
Un-score,5,1,,,,0.2340402017001959
Un-score,5,2,,,,0.23365579409515946
Un-score,5,4,,,,0.2336833582255709
Un-score,5,7,,,,0.23426359715027922
Un-score,5,8,,,,0.2330683420930769
test-score,6,,1.0,0.2494172494172494,0.3992537313432836,
Un-score,6,1,,,,0.23384485408452055
Un-score,6,2,,,,0.23315915922502942
Un-score,6,4,,,,0.23326759364928223
Un-score,6,8,,,,0.23236065159961616
test-score,7,,1.0,0.23252032520325203,0.37730870712401055,
Un-score,7,2,,,,0.23905561957921515
Un-score,7,4,,,,0.23909278486126231
Un-score,7,8,,,,0.23840006153663035
test-score,8,,1.0,0.23252032520325203,0.37730870712401055,
Un-score,8,2,,,,0.2321116432321083
Un-score,8,8,,,,0.23171766773889305
test-score,9,,0.9851485148514851,0.2535031847133758,0.403242147922999,
Un-score,9,8,,,,0.25055974728356645
