,Presicion,Recall,F1-score,data/sumen/sumen-01.txt,data/sumen/sumen-02.txt,data/sumen/sumen-03.txt,data/sumen/sumen-04.txt,data/sumen/sumen-05.txt,data/sumen/sumen-06.txt,data/sumen/sumen-07.txt,data/sumen/sumen-08.txt,data/sumen/sumen-10.txt,data/sumen/sumen-11.txt
1,0.9732142857142857,0.2540792540792541,0.4029574861367837,,0.23046117516540485,0.23291402077031392,0.23059912987330602,0.23298493688876803,0.2298050319975508,0.2305651911416075,0.22954217812154387,0.23255374702185078,0.2330450904440133
2,0.990909090909091,0.2540792540792541,0.40445269016697594,,0.2245966991254327,0.22395706093666265,0.22488754084497914,0.22406503865534866,0.22545385125555284,0.2246860930291191,0.22488504802622575,0.22363392541484045,
3,0.990909090909091,0.2540792540792541,0.40445269016697594,,0.25374469072578115,0.252563870911455,0.25411077611350186,0.25293629916400634,,0.25393185568287413,0.2540502359124872,0.25210135309326454,
4,0.990909090909091,0.2540792540792541,0.40445269016697594,,0.22801906867913957,0.2279613697321888,,0.22793134714419097,,0.22836248884650814,0.22827452460406822,0.2276226623957875,
5,1.0,0.2494172494172494,0.3992537313432836,,0.2340402017001959,0.23365579409515946,,0.2336833582255709,,,0.23426359715027922,0.2330683420930769,
6,1.0,0.2494172494172494,0.3992537313432836,,0.23384485408452055,0.23315915922502942,,0.23326759364928223,,,,0.23236065159961616,
7,1.0,0.23252032520325203,0.37730870712401055,,,0.23905561957921515,,0.23909278486126231,,,,0.23840006153663035,
8,1.0,0.23252032520325203,0.37730870712401055,,,0.2321116432321083,,,,,,0.23171766773889305,
9,0.9851485148514851,0.2535031847133758,0.403242147922999,,,,,,,,,0.25055974728356645,
Avr,0.9923433414770049,0.24818837225237722,0.39696473127725546,,0.23411778158007912,0.23442231731026658,0.23653248227726234,0.23485162265548992,0.22762944162655183,0.2343864071750272,0.23420311676292088,0.23577979535305843,0.2330450904440133
Max,1.0,0.2540792540792541,0.40445269016697594,,0.25374469072578115,0.252563870911455,0.25411077611350186,0.25293629916400634,0.2298050319975508,0.25393185568287413,0.2540502359124872,0.25210135309326454,0.2330450904440133
Slope,0.0017047061849041997,-0.001912682108425468,-0.002329670448227636,,0.0005578080078064723,0.00020662428272639439,0.011755823120097916,0.000624132605961234,-0.004351180741997973,0.0022637655768456945,0.0012832314635313176,0.001226843901826346,nan
AllTextCount,,,,3281.0,1735.0,2578.0,1915.0,2267.0,1645.0,1921.0,1725.0,3127.0,2379.0
AllSegCount,,,,648.0,352.0,505.0,381.0,464.0,296.0,366.0,343.0,632.0,472.0
,,,,5.063271604938271,4.9289772727272725,5.104950495049505,5.026246719160105,4.885775862068965,5.5574324324324325,5.248633879781421,5.029154518950437,4.947784810126582,5.040254237288136
