Type,Round,Test Part,Presicion,Recall,F1-score,U-score
test-score,1,,0.9396551724137931,0.2540792540792541,0.4,
Un-score,1,1,,,,0.2194371266016785
Un-score,1,2,,,,0.22164689619697434
Un-score,1,3,,,,0.21938539729246934
Un-score,1,4,,,,0.22174840898778458
Un-score,1,5,,,,0.21878206851739312
Un-score,1,6,,,,0.21933772809195531
Un-score,1,7,,,,0.2185134463171488
Un-score,1,8,,,,0.2211604635908766
Un-score,1,9,,,,0.22173400379375982
test-score,2,,0.9801324503311258,0.24065040650406505,0.3864229765013055,
Un-score,2,2,,,,0.216379609310915
Un-score,2,3,,,,0.21426561507858413
Un-score,2,4,,,,0.21643844072544313
Un-score,2,5,,,,0.21368502253846275
Un-score,2,6,,,,0.21418416773513024
Un-score,2,7,,,,0.21387227502705503
Un-score,2,8,,,,0.2168810113902324
Un-score,2,9,,,,0.21649345694115277
test-score,3,,1.0,0.2574468085106383,0.40947546531302875,
Un-score,3,3,,,,0.22593491083663322
Un-score,3,4,,,,0.2280022464750364
Un-score,3,5,,,,0.2257365110754368
Un-score,3,6,,,,0.2258225369430123
Un-score,3,7,,,,0.22584897303032567
Un-score,3,8,,,,0.22820471490155234
Un-score,3,9,,,,0.22802905467549867
test-score,4,,1.0,0.22321428571428573,0.36496350364963503,
Un-score,4,4,,,,0.2333183486736513
Un-score,4,5,,,,0.2313396465570077
Un-score,4,6,,,,0.23166956031945413
Un-score,4,7,,,,0.2317383233656891
Un-score,4,8,,,,0.23343975109449963
Un-score,4,9,,,,0.23349375164894973
test-score,5,,1.0,0.2925531914893617,0.45267489711934156,
Un-score,5,5,,,,0.24111830812849183
Un-score,5,6,,,,0.24176932191551373
Un-score,5,7,,,,0.24138544844584944
Un-score,5,8,,,,0.24348508220179071
Un-score,5,9,,,,0.243567892832164
test-score,6,,1.0,0.27074235807860264,0.42611683848797255,
Un-score,6,6,,,,0.23819898571463335
Un-score,6,7,,,,0.2378475412373782
Un-score,6,8,,,,0.23977425334862543
Un-score,6,9,,,,0.23974881422682068
test-score,7,,1.0,0.26004728132387706,0.41275797373358347,
Un-score,7,7,,,,0.23201830716675445
Un-score,7,8,,,,0.23425062256768409
Un-score,7,9,,,,0.23403611017047368
test-score,8,,1.0,0.24968152866242038,0.399592252803262,
Un-score,8,8,,,,0.2361709499975287
Un-score,8,9,,,,0.23603476932802375
test-score,9,,0.9875,0.2719449225473322,0.42645074224021595,
Un-score,9,9,,,,0.22070859976664042
