,Presicion,Recall,F1-score,data/sumen/sumen-01.txt,data/sumen/sumen-02.txt,data/sumen/sumen-03.txt,data/sumen/sumen-04.txt,data/sumen/sumen-05.txt,data/sumen/sumen-06.txt,data/sumen/sumen-07.txt,data/sumen/sumen-08.txt,data/sumen/sumen-10.txt,data/sumen/sumen-11.txt
1,0.9396551724137931,0.2540792540792541,0.4,,0.2194371266016785,0.22164689619697434,0.21938539729246934,0.22174840898778458,0.21878206851739312,0.21933772809195531,0.2185134463171488,0.2211604635908766,0.22173400379375982
2,0.9801324503311258,0.24065040650406505,0.3864229765013055,,,0.216379609310915,0.21426561507858413,0.21643844072544313,0.21368502253846275,0.21418416773513024,0.21387227502705503,0.2168810113902324,0.21649345694115277
3,1.0,0.2574468085106383,0.40947546531302875,,,,0.22593491083663322,0.2280022464750364,0.2257365110754368,0.2258225369430123,0.22584897303032567,0.22820471490155234,0.22802905467549867
4,1.0,0.22321428571428573,0.36496350364963503,,,,,0.2333183486736513,0.2313396465570077,0.23166956031945413,0.2317383233656891,0.23343975109449963,0.23349375164894973
5,1.0,0.2925531914893617,0.45267489711934156,,,,,,0.24111830812849183,0.24176932191551373,0.24138544844584944,0.24348508220179071,0.243567892832164
6,1.0,0.27074235807860264,0.42611683848797255,,,,,,,0.23819898571463335,0.2378475412373782,0.23977425334862543,0.23974881422682068
7,1.0,0.26004728132387706,0.41275797373358347,,,,,,,,0.23201830716675445,0.23425062256768409,0.23403611017047368
8,1.0,0.24968152866242038,0.399592252803262,,,,,,,,,0.2361709499975287,0.23603476932802375
9,0.9875,0.2719449225473322,0.42645074224021595,,,,,,,,,,0.22070859976664042
Avr,0.9896986247494355,0.2578177818788708,0.40871718331648277,,0.2194371266016785,0.21901325275394468,0.21986197440256225,0.22487686121547887,0.22613231136335843,0.22849705011994983,0.22874633065574296,0.23167085613659874,0.23042738370927596
Max,1.0,0.2925531914893617,0.45267489711934156,,0.2194371266016785,0.22164689619697434,0.22593491083663322,0.2333183486736513,0.24111830812849183,0.24176932191551373,0.24138544844584944,0.24348508220179071,0.243567892832164
Slope,0.004183032655857502,0.00252141763896955,0.0035504858257696683,,nan,-0.005267286886059347,0.0032747567720819433,0.004627362480719344,0.006232710324074237,0.0052259649723137855,0.003714342513749537,0.0028175643712182556,0.0012131915769992723
AllTextCount,,,,3281.0,1735.0,2578.0,1915.0,2267.0,1645.0,1921.0,1725.0,3127.0,2379.0
AllSegCount,,,,648.0,352.0,505.0,381.0,464.0,296.0,366.0,343.0,632.0,472.0
,,,,5.063271604938271,4.9289772727272725,5.104950495049505,5.026246719160105,4.885775862068965,5.5574324324324325,5.248633879781421,5.029154518950437,4.947784810126582,5.040254237288136
