,Presicion,Recall,F1-score,data/sumen\01.txt,data/sumen\02.txt,data/sumen\03.txt,data/sumen\04.txt,data/sumen\05.txt,data/sumen\06.txt,data/sumen\07.txt,data/sumen\08.txt,data/sumen\10.txt,data/sumen\11.txt
1,1.0,0.1820580474934037,0.3080357142857143,0.21387436657435996,,,,,,,,,
2,0.990909090909091,0.2540792540792541,0.40445269016697594,,0.2296136481782035,,,,,,,,
3,1.0,0.23414634146341465,0.37944664031620556,,,0.22867881804023696,,,,,,,
4,1.0,0.2574468085106383,0.40947546531302875,,,,0.2281294608097487,,,,,,
5,1.0,0.22857142857142856,0.3720930232558139,,,,,0.2269404585859202,,,,,
6,0.9508196721311475,0.30851063829787234,0.46586345381526095,,,,,,0.23697749291611042,,,,
7,0.9844961240310077,0.27729257641921395,0.4327086882453151,,,,,,,0.25159316020381417,,,
8,1.0,0.2695035460992908,0.4245810055865922,,,,,,,,0.2257893509543636,,
9,0.9851485148514851,0.2535031847133758,0.403242147922999,,,,,,,,,0.20959101714660525,
10,0.9875,0.2719449225473322,0.42645074224021595,,,,,,,,,,0.23809443560192858
Avr,0.9898873401922732,0.25370567481952244,0.4026349571148121,0.21387436657435996,0.2296136481782035,0.22867881804023696,0.2281294608097487,0.2269404585859202,0.23697749291611042,0.25159316020381417,0.2257893509543636,0.20959101714660525,0.23809443560192858
Max,1.0,0.30851063829787234,0.46586345381526095,0.21387436657435996,0.2296136481782035,0.22867881804023696,0.2281294608097487,0.2269404585859202,0.23697749291611042,0.25159316020381417,0.2257893509543636,0.20959101714660525,0.23809443560192858
Slope,-0.001506157504115574,0.006795223797307636,0.008766081100551005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AllTextCount,,,,3281.0,1735.0,2578.0,1915.0,2267.0,1645.0,1921.0,1725.0,3127.0,2379.0
AllSegCount,,,,648.0,352.0,505.0,381.0,464.0,296.0,366.0,343.0,632.0,472.0
,,,,5.063271604938271,4.9289772727272725,5.104950495049505,5.026246719160105,4.885775862068965,5.5574324324324325,5.248633879781421,5.029154518950437,4.947784810126582,5.040254237288136
