Type,Round,Test Part,Presicion,Recall,F1-score,U-score
test-score,1,,0.8770685579196218,0.16394167034909413,0.276247207743857,
Un-score,1,1,,,,0.18991233271417005
Un-score,1,2,,,,0.19162769203086152
Un-score,1,3,,,,0.19307202438602936
Un-score,1,4,,,,0.19299465134721724
Un-score,1,5,,,,0.19215185719607708
Un-score,1,6,,,,0.19163002464343293
Un-score,1,7,,,,0.19096371473859677
Un-score,1,8,,,,0.1926818906394724
Un-score,1,9,,,,0.19007725351302426
Un-score,1,10,,,,0.19223509961574956
test-score,2,,0.9002217294900222,0.1794078656650464,0.29918938835666914,
Un-score,2,1,,,,0.22069890899465225
Un-score,2,2,,,,0.2114418164090622
Un-score,2,4,,,,0.2098603407481978
Un-score,2,5,,,,0.21109667483423356
Un-score,2,6,,,,0.21105780111887193
Un-score,2,7,,,,0.21532370092544412
Un-score,2,8,,,,0.2113657003375533
Un-score,2,9,,,,0.21973528206377063
Un-score,2,10,,,,0.21086514214174382
test-score,3,,0.9382022471910112,0.1404541631623213,0.24433065106071689,
Un-score,3,2,,,,0.2017019932464986
Un-score,3,4,,,,0.19988018958364248
Un-score,3,5,,,,0.20133121575592364
Un-score,3,6,,,,0.20137465046771885
Un-score,3,7,,,,0.2055974774883766
Un-score,3,8,,,,0.20149974047066124
Un-score,3,9,,,,0.2101220368410468
Un-score,3,10,,,,0.20106919254954161
test-score,4,,0.9467455621301775,0.1345668629100084,0.23564064801178208,
Un-score,4,2,,,,0.19720580371959914
Un-score,4,4,,,,0.19410423439157157
Un-score,4,5,,,,0.19648222416210406
Un-score,4,6,,,,0.19598491353291103
Un-score,4,7,,,,0.1988108073003607
Un-score,4,8,,,,0.19127473671670062
Un-score,4,10,,,,0.19085328383195063
test-score,5,,0.9467455621301775,0.1345668629100084,0.23564064801178208,
Un-score,5,2,,,,0.1959044625090796
Un-score,5,4,,,,0.19270285752933158
Un-score,5,5,,,,0.19509556505200443
Un-score,5,6,,,,0.194548062193262
Un-score,5,8,,,,0.1899997104162252
Un-score,5,10,,,,0.18962391001778814
test-score,6,,0.9746835443037974,0.10294117647058823,0.18621523579201935,
Un-score,6,4,,,,0.18874846744202486
Un-score,6,5,,,,0.19125997475123674
Un-score,6,6,,,,0.19064997676902357
Un-score,6,8,,,,0.18609463611092694
Un-score,6,10,,,,0.18573123366584204
test-score,7,,0.9746835443037974,0.10294117647058823,0.18621523579201935,
Un-score,7,4,,,,0.19887488942250756
Un-score,7,6,,,,0.2008207496084111
Un-score,7,8,,,,0.19611177049948947
Un-score,7,10,,,,0.19580200415656435
test-score,8,,0.9746835443037974,0.10294117647058823,0.18621523579201935,
Un-score,8,4,,,,0.193837589559278
Un-score,8,8,,,,0.19110884248849822
Un-score,8,10,,,,0.19077114828283867
test-score,9,,0.9872611464968153,0.23736600306278713,0.38271604938271603,
Un-score,9,8,,,,0.17883287585791624
Un-score,9,10,,,,0.17852340163913852
test-score,10,,1.0,0.1857638888888889,0.31332357247437775,
Un-score,10,10,,,,0.19110724553492717
