Type,Round,Test Part,Presicion,Recall,F1-score,U-score
test-score,1,,0.8770685579196218,0.16394167034909413,0.276247207743857,
Un-score,1,1,,,,0.1818368392622192
Un-score,1,2,,,,0.1826010247953711
Un-score,1,3,,,,0.18383201988911754
Un-score,1,4,,,,0.18362791338951376
Un-score,1,5,,,,0.18300968844255178
Un-score,1,6,,,,0.18265354080307664
Un-score,1,7,,,,0.18231909594030135
Un-score,1,8,,,,0.18350581992222434
Un-score,1,9,,,,0.18191302698525386
Un-score,1,10,,,,0.18307425126877683
test-score,2,,0.9382022471910112,0.1404541631623213,0.24433065106071689,
Un-score,2,2,,,,0.20522531194313534
Un-score,2,3,,,,0.2046587820689777
Un-score,2,4,,,,0.20307555099581703
Un-score,2,5,,,,0.20480510342137967
Un-score,2,6,,,,0.20484650076837246
Un-score,2,7,,,,0.20959726246057722
Un-score,2,8,,,,0.2049322237759349
Un-score,2,9,,,,0.21476184323358566
Un-score,2,10,,,,0.20448577461740927
test-score,3,,0.8670886075949367,0.25464684014869887,0.39367816091954017,
Un-score,3,3,,,,0.22228251472991253
Un-score,3,4,,,,0.22087772202901496
Un-score,3,5,,,,0.2223027287539447
Un-score,3,6,,,,0.2222521152431748
Un-score,3,7,,,,0.22663035842931414
Un-score,3,8,,,,0.22251781804042378
Un-score,3,9,,,,0.23132279836332814
Un-score,3,10,,,,0.22208114246395574
test-score,4,,0.9746835443037974,0.10294117647058823,0.18621523579201935,
Un-score,4,4,,,,0.20466380962754865
Un-score,4,5,,,,0.20624012111687243
Un-score,4,6,,,,0.20608616436182908
Un-score,4,7,,,,0.21053473536822456
Un-score,4,8,,,,0.20646853808058038
Un-score,4,9,,,,0.21527051476238038
Un-score,4,10,,,,0.20602822635572435
test-score,5,,0.9054054054054054,0.0643611911623439,0.1201793721973094,
Un-score,5,5,,,,0.20479994786804623
Un-score,5,6,,,,0.20467803787390684
Un-score,5,7,,,,0.2088075486438057
Un-score,5,8,,,,0.20505002534214312
Un-score,5,9,,,,0.21324690014940342
Un-score,5,10,,,,0.2045829792364562
test-score,6,,0.9465020576131687,0.20795660036166366,0.34099332839140106,
Un-score,6,6,,,,0.20648279115126777
Un-score,6,7,,,,0.21063380981115173
Un-score,6,8,,,,0.20699277486738374
Un-score,6,9,,,,0.21498383461778495
Un-score,6,10,,,,0.20658361192335203
test-score,7,,0.9581497797356828,0.232,0.37355088020609706,
Un-score,7,7,,,,0.21504531943919145
Un-score,7,8,,,,0.21170275088795595
Un-score,7,9,,,,0.21910847338699935
Un-score,7,10,,,,0.2112769207189474
test-score,8,,0.9872611464968153,0.23736600306278713,0.38271604938271603,
Un-score,8,8,,,,0.19560366894702963
Un-score,8,9,,,,0.20369746305805708
Un-score,8,10,,,,0.19518380552475348
test-score,9,,1.0,0.3296037296037296,0.4957924263674614,
Un-score,9,9,,,,0.2203020611870229
Un-score,9,10,,,,0.2124945633824044
test-score,10,,1.0,0.1857638888888889,0.31332357247437775,
Un-score,10,10,,,,0.19689997759507027
