,Presicion,Recall,F1-score,data/ws/ws-001.txt,data/ws/ws-002.txt,data/ws/ws-004.txt,data/ws/ws-005.txt,data/ws/ws-006.txt,data/ws/ws-007.txt,data/ws/ws-008.txt,data/ws/ws-009.txt,data/ws/ws-010.txt,data/ws/ws-011.txt,data/ws/ws-012.txt
1,0.8770685579196218,0.16394167034909413,0.276247207743857,,0.1818368392622192,0.1826010247953711,0.18383201988911754,0.18362791338951376,0.18300968844255178,0.18265354080307664,0.18231909594030135,0.18350581992222434,0.18191302698525386,0.18307425126877683
2,0.9382022471910112,0.1404541631623213,0.24433065106071689,,,0.20522531194313534,0.2046587820689777,0.20307555099581703,0.20480510342137967,0.20484650076837246,0.20959726246057722,0.2049322237759349,0.21476184323358566,0.20448577461740927
3,0.8670886075949367,0.25464684014869887,0.39367816091954017,,,,0.22228251472991253,0.22087772202901496,0.2223027287539447,0.2222521152431748,0.22663035842931414,0.22251781804042378,0.23132279836332814,0.22208114246395574
4,0.9746835443037974,0.10294117647058823,0.18621523579201935,,,,,0.20466380962754865,0.20624012111687243,0.20608616436182908,0.21053473536822456,0.20646853808058038,0.21527051476238038,0.20602822635572435
5,0.9054054054054054,0.0643611911623439,0.1201793721973094,,,,,,0.20479994786804623,0.20467803787390684,0.2088075486438057,0.20505002534214312,0.21324690014940342,0.2045829792364562
6,0.9465020576131687,0.20795660036166366,0.34099332839140106,,,,,,,0.20648279115126777,0.21063380981115173,0.20699277486738374,0.21498383461778495,0.20658361192335203
7,0.9581497797356828,0.232,0.37355088020609706,,,,,,,,0.21504531943919145,0.21170275088795595,0.21910847338699935,0.2112769207189474
8,0.9872611464968153,0.23736600306278713,0.38271604938271603,,,,,,,,,0.19560366894702963,0.20369746305805708,0.19518380552475348
9,1.0,0.3296037296037296,0.4957924263674614,,,,,,,,,,0.2203020611870229,0.2124945633824044
10,1.0,0.1857638888888889,0.31332357247437775,,,,,,,,,,,0.19689997759507027
Avr,0.9454361346260439,0.19190352632101154,0.31270268845354965,,0.1818368392622192,0.1939131683692532,0.20359110556266927,0.20306124901047357,0.20423151792055894,0.20449985836693796,0.20908116144179517,0.20459670248295947,0.21273410174931287,0.20426912530868496
Max,1.0,0.3296037296037296,0.4957924263674614,,0.1818368392622192,0.20522531194313534,0.22228251472991253,0.22087772202901496,0.2223027287539447,0.2222521152431748,0.22663035842931414,0.22251781804042378,0.23132279836332814,0.22208114246395574
Slope,0.012917123038782655,0.01190796743215762,0.01710260631196426,,nan,0.022624287147764238,0.019225247420397495,0.00809098597473026,0.0045015536546481666,0.0029278546336060883,0.0029438912647253884,0.00083980876757363,0.0015941277697206233,0.00038638235983127686
AllTextCount,,,,21005.0,12951.0,6588.0,2664.0,4105.0,6071.0,5036.0,8378.0,2959.0,11802.0,3119.0
AllSegCount,,,,4078.0,2246.0,1180.0,462.0,674.0,1029.0,880.0,1440.0,498.0,1443.0,470.0
,,,,5.150809220205983,5.766251113089938,5.583050847457627,5.766233766233766,6.0905044510385755,5.899902818270165,5.722727272727273,5.8180555555555555,5.9417670682730925,8.17879417879418,6.636170212765958
