Type,Round,Test Part,Presicion,Recall,F1-score,U-score
test-score,1,,0.9256292906178489,0.20039633391132028,0.3294644675218896,
Un-score,1,0,,,,0.17168407623447263
test-score,2,,0.9068181818181819,0.17631462660185596,0.2952275249722531,
Un-score,2,1,,,,0.17737728016822496
test-score,3,,0.9467455621301775,0.1345668629100084,0.23564064801178208,
Un-score,3,2,,,,0.17025031711990732
test-score,4,,0.8670886075949367,0.25464684014869887,0.39367816091954017,
Un-score,4,3,,,,0.18672379847181061
test-score,5,,0.9746835443037974,0.10294117647058823,0.18621523579201935,
Un-score,5,4,,,,0.1750377158628693
test-score,6,,0.9054054054054054,0.0643611911623439,0.1201793721973094,
Un-score,6,5,,,,0.17721202432449026
test-score,7,,0.9465020576131687,0.20795660036166366,0.34099332839140106,
Un-score,7,6,,,,0.2076016462670981
test-score,8,,0.9602649006622517,0.232,0.37371134020618557,
Un-score,8,7,,,,0.195197795166857
test-score,9,,0.9872611464968153,0.23736600306278713,0.38271604938271603,
Un-score,9,8,,,,0.20503386641777335
test-score,10,,1.0,0.3296037296037296,0.4957924263674614,
Un-score,10,9,,,,0.20884658546692259
test-score,11,,1.0,0.1857638888888889,0.31332357247437775,
Un-score,11,10,,,,0.18717142726757818
