,Presicion,Recall,F1-score,data/ws\001.txt,data/ws\002.txt,data/ws\004.txt,data/ws\005.txt,data/ws\006.txt,data/ws\007.txt,data/ws\008.txt,data/ws\009.txt,data/ws\010.txt,data/ws\011.txt,data/ws\012.txt
1,0.9256292906178489,0.20039633391132028,0.3294644675218896,0.17168407623447263,,,,,,,,,,
2,0.9068181818181819,0.17631462660185596,0.2952275249722531,,0.17737728016822496,,,,,,,,,
3,0.9467455621301775,0.1345668629100084,0.23564064801178208,,,0.17025031711990732,,,,,,,,
4,0.8670886075949367,0.25464684014869887,0.39367816091954017,,,,0.18672379847181061,,,,,,,
5,0.9746835443037974,0.10294117647058823,0.18621523579201935,,,,,0.1750377158628693,,,,,,
6,0.9054054054054054,0.0643611911623439,0.1201793721973094,,,,,,0.17721202432449026,,,,,
7,0.9465020576131687,0.20795660036166366,0.34099332839140106,,,,,,,0.2076016462670981,,,,
8,0.9602649006622517,0.232,0.37371134020618557,,,,,,,,0.195197795166857,,,
9,0.9872611464968153,0.23736600306278713,0.38271604938271603,,,,,,,,,0.20503386641777335,,
10,1.0,0.3296037296037296,0.4957924263674614,,,,,,,,,,0.20884658546692259,
11,1.0,0.1857638888888889,0.31332357247437775,,,,,,,,,,,0.18717142726757818
Avr,0.9473089724220531,0.19326520482926224,0.3151765569306305,0.17168407623447263,0.17737728016822496,0.17025031711990732,0.18672379847181061,0.1750377158628693,0.17721202432449026,0.2076016462670981,0.195197795166857,0.20503386641777335,0.20884658546692259,0.18717142726757818
Max,1.0,0.3296037296037296,0.4957924263674614,0.17168407623447263,0.17737728016822496,0.17025031711990732,0.18672379847181061,0.1750377158628693,0.17721202432449026,0.2076016462670981,0.195197795166857,0.20503386641777335,0.20884658546692259,0.18717142726757818
Slope,0.009311806110744935,0.008255575917703194,0.011614779869352257,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AllTextCount,,,,21005.0,12951.0,6588.0,2664.0,4105.0,6071.0,5036.0,8378.0,2959.0,11802.0,3119.0
AllSegCount,,,,4073.0,2246.0,1180.0,462.0,674.0,1029.0,880.0,1440.0,498.0,1443.0,470.0
,,,,5.1571323348882885,5.766251113089938,5.583050847457627,5.766233766233766,6.0905044510385755,5.899902818270165,5.722727272727273,5.8180555555555555,5.9417670682730925,8.17879417879418,6.636170212765958
