Type,Round,Test Part,Presicion,Recall,F1-score,U-score
test-score,1,,0.75,0.2158273381294964,0.33519553072625696,
Un-score,1,1,,,,0.21728429918880163
Un-score,1,2,,,,0.22065728576473598
Un-score,1,3,,,,0.21613316875256228
Un-score,1,4,,,,0.21707795370504424
Un-score,1,5,,,,0.22198087674197556
Un-score,1,6,,,,0.2159888469784156
Un-score,1,7,,,,0.21677488045571944
Un-score,1,8,,,,0.2160511439664134
Un-score,1,9,,,,0.2155678599124605
Un-score,1,10,,,,0.21606505595223566
test-score,2,,0.6355140186915887,0.27419354838709675,0.38309859154929576,
Un-score,2,2,,,,0.17508558412348685
Un-score,2,3,,,,0.16915980954743975
Un-score,2,4,,,,0.17182369099278863
Un-score,2,5,,,,0.176558226230932
Un-score,2,6,,,,0.17107627948989038
Un-score,2,7,,,,0.16968656862972734
Un-score,2,8,,,,0.16888292871601274
Un-score,2,9,,,,0.1702425069700588
Un-score,2,10,,,,0.16993236759948555
test-score,3,,0.7627118644067796,0.22167487684729065,0.34351145038167935,
Un-score,3,3,,,,0.23596372340096744
Un-score,3,4,,,,0.2362571180753616
Un-score,3,5,,,,0.2395393271567294
Un-score,3,6,,,,0.235631332533515
Un-score,3,7,,,,0.23645829684610975
Un-score,3,8,,,,0.2360202547804506
Un-score,3,9,,,,0.23526395180685955
Un-score,3,10,,,,0.23558896251775469
test-score,4,,0.8620689655172413,0.11737089201877934,0.20661157024793386,
Un-score,4,4,,,,0.22678498253624416
Un-score,4,5,,,,0.2305754617144856
Un-score,4,6,,,,0.2260407288570929
Un-score,4,7,,,,0.22659764675116426
Un-score,4,8,,,,0.2262630091393861
Un-score,4,9,,,,0.225576300135475
Un-score,4,10,,,,0.22566859915367465
test-score,5,,0.6388888888888888,0.08646616541353383,0.152317880794702,
Un-score,5,5,,,,0.20190866109806294
Un-score,5,6,,,,0.19655779189328945
Un-score,5,7,,,,0.19672904971641825
Un-score,5,8,,,,0.19603731759918705
Un-score,5,9,,,,0.19584249251627955
Un-score,5,10,,,,0.19570809010864237
test-score,6,,0.9696969696969697,0.14953271028037382,0.2591093117408907,
Un-score,6,6,,,,0.20744002408348025
Un-score,6,7,,,,0.20736392352071048
Un-score,6,8,,,,0.2067714317778442
Un-score,6,9,,,,0.20726336739491671
Un-score,6,10,,,,0.20717646990470293
test-score,7,,0.9574468085106383,0.24324324324324326,0.3879310344827586,
Un-score,7,7,,,,0.20165159600247795
Un-score,7,8,,,,0.20130727133819104
Un-score,7,9,,,,0.2017442924236159
Un-score,7,10,,,,0.20164294945444236
test-score,8,,0.9807692307692307,0.2512315270935961,0.39999999999999997,
Un-score,8,8,,,,0.19054054787025795
Un-score,8,9,,,,0.19108962782753885
Un-score,8,10,,,,0.19097265717972664
test-score,9,,1.0,0.3894736842105263,0.5606060606060607,
Un-score,9,9,,,,0.21488410214120945
Un-score,9,10,,,,0.21497517577197706
test-score,10,,0.9473684210526315,0.19672131147540983,0.32579185520361986,
Un-score,10,10,,,,0.19268322279445366
