,Presicion,Recall,F1-score,data/ws2\ws-001.txt,data/ws2\ws-002.txt,data/ws2\ws-004.txt,data/ws2\ws-005.txt,data/ws2\ws-006.txt,data/ws2\ws-007.txt,data/ws2\ws-008.txt,data/ws2\ws-009.txt,data/ws2\ws-010.txt,data/ws2\ws-011.txt,data/ws2\ws-012.txt
1,0.7567567567567568,0.2014388489208633,0.3181818181818182,,0.20570237509100578,0.20941963437847855,0.2046925845895908,0.2058501644536216,0.21072544924320144,0.20478798810554588,0.20520816382948673,0.20451476177117936,0.20426836250857874,0.20468442766228906
2,0.6228070175438597,0.2862903225806452,0.3922651933701658,,,0.2465075434039678,0.24280990150929463,0.2438824824607882,0.24770759446890922,0.24308252149949902,0.2433674938698825,0.24260019170340325,0.2428488780896772,0.2430582198489585
3,0.7627118644067796,0.22167487684729065,0.34351145038167935,,,,0.18668079127240228,0.18806522038717632,0.19189143836822198,0.18748479083018457,0.1870631702719469,0.18654624828594543,0.1866875295595012,0.18653607064127867
4,0.8620689655172413,0.11737089201877934,0.20661157024793386,,,,,0.19765426586315735,0.20172812627014414,0.1969238747984333,0.1967980428660461,0.1963940113202698,0.19622230940456079,0.19608124681429953
5,0.6857142857142857,0.09022556390977443,0.15946843853820597,,,,,,0.22434981483020286,0.21940369335347382,0.22015886283765415,0.2193879707424295,0.21885515935105188,0.21890736330560373
6,0.9696969696969697,0.14953271028037382,0.2591093117408907,,,,,,,0.21150715748688367,0.21149815677157485,0.21088954551437544,0.21131725666102616,0.21130849087476622
7,0.9,0.24324324324324326,0.3829787234042553,,,,,,,,0.19186817487101065,0.1913871363462867,0.1920357556209836,0.19185793605382556
8,1.0,0.2512315270935961,0.4015748031496063,,,,,,,,,0.21617356984119837,0.2163071054676336,0.21637574652051492
9,1.0,0.3894736842105263,0.5606060606060607,,,,,,,,,,0.18935398083815183,0.1892363425051626
10,0.9473684210526315,0.19672131147540983,0.32579185520361986,,,,,,,,,,,0.15803770125401012
Avr,0.8507124280688524,0.2147202980580502,0.33500992248242356,,0.20570237509100578,0.22796358889122317,0.21139442579042922,0.20886303329118586,0.21528048463613594,0.21053167101233672,0.2079945807596574,0.20848667944063598,0.20643292638901833,0.20160835454807086
Max,1.0,0.3894736842105263,0.5606060606060607,,0.20570237509100578,0.2465075434039678,0.24280990150929463,0.2438824824607882,0.24770759446890922,0.24308252149949902,0.2433674938698825,0.24260019170340325,0.2428488780896772,0.2430582198489585
Slope,0.03600043831062374,0.007663837246518817,0.01312688182035614,,nan,0.03708790902548925,-0.009005896658594262,-0.00804049578450046,-0.0018730737024762246,-0.0008000443875182267,-0.0025236767323691517,-0.00093368772842857,-0.0018915240861401377,-0.004046327905437333
AllTextCount,,,,1582.0,823.0,1347.0,989.0,1193.0,1541.0,1150.0,831.0,923.0,1100.0,1079.0
AllSegCount,,,,297.0,138.0,242.0,184.0,192.0,262.0,186.0,140.0,152.0,119.0,147.0
,,,,5.326599326599327,5.963768115942029,5.566115702479339,5.375,6.213541666666667,5.8816793893129775,6.182795698924731,5.935714285714286,6.072368421052632,9.243697478991596,7.340136054421769
