Type,Round,Test Part,Presicion,Recall,F1-score,U-score
test-score,1,,0.75,0.2158273381294964,0.33519553072625696,
Un-score,1,1,,,,0.20001976237262295
Un-score,1,2,,,,0.2040788650114446
Un-score,1,3,,,,0.19892204660617185
Un-score,1,4,,,,0.20041850776304643
Un-score,1,5,,,,0.2053346354453924
Un-score,1,6,,,,0.19934759655724402
Un-score,1,7,,,,0.19952986311396106
Un-score,1,8,,,,0.19880478550656774
Un-score,1,9,,,,0.1987599630247463
Un-score,1,10,,,,0.1991457694431938
test-score,2,,0.7027027027027027,0.18705035971223022,0.2954545454545454,
Un-score,2,1,,,,0.1985245487524846
Un-score,2,2,,,,0.2019834301884562
Un-score,2,3,,,,0.19864271535972253
Un-score,2,4,,,,0.1990282482530825
Un-score,2,6,,,,0.19878760556163996
Un-score,2,7,,,,0.19801321077002515
Un-score,2,8,,,,0.1976261427333399
Un-score,2,9,,,,0.19836267599327997
Un-score,2,10,,,,0.19864389434995422
test-score,3,,0.8333333333333334,0.17985611510791366,0.29585798816568054,
Un-score,3,1,,,,0.23986741921265822
Un-score,3,3,,,,0.23928994551881078
Un-score,3,4,,,,0.2384069000455892
Un-score,3,6,,,,0.23790538860970864
Un-score,3,7,,,,0.23930389939770372
Un-score,3,8,,,,0.2388589054069614
Un-score,3,9,,,,0.23804065390320664
Un-score,3,10,,,,0.23835611161176007
test-score,4,,0.8958333333333334,0.21182266009852216,0.3426294820717132,
Un-score,4,3,,,,0.21877553753547288
Un-score,4,4,,,,0.21863645614161525
Un-score,4,6,,,,0.21801702181444219
Un-score,4,7,,,,0.21877506976021469
Un-score,4,8,,,,0.21839890988464927
Un-score,4,9,,,,0.21801658258011394
Un-score,4,10,,,,0.21800780153217914
test-score,5,,0.92,0.107981220657277,0.19327731092436978,
Un-score,5,4,,,,0.19963235228360698
Un-score,5,6,,,,0.19904752002300127
Un-score,5,7,,,,0.19866779663574252
Un-score,5,8,,,,0.19830791188660254
Un-score,5,9,,,,0.19866481541063297
Un-score,5,10,,,,0.19849997200417066
test-score,6,,0.9696969696969697,0.14953271028037382,0.2591093117408907,
Un-score,6,6,,,,0.18112365503248798
Un-score,6,7,,,,0.18030252910827688
Un-score,6,8,,,,0.17977693410946474
Un-score,6,9,,,,0.18064982773037627
Un-score,6,10,,,,0.1803756792910062
test-score,7,,0.9,0.24324324324324326,0.3829787234042553,
Un-score,7,7,,,,0.20473545376843494
Un-score,7,8,,,,0.20430217261495773
Un-score,7,9,,,,0.20471809762403032
Un-score,7,10,,,,0.2046113175476372
test-score,8,,0.9807692307692307,0.2512315270935961,0.39999999999999997,
Un-score,8,8,,,,0.21299794415282672
Un-score,8,9,,,,0.2132649755398002
Un-score,8,10,,,,0.21331483381708646
test-score,9,,0.9807692307692307,0.2512315270935961,0.39999999999999997,
Un-score,9,8,,,,0.21852718166473956
Un-score,9,9,,,,0.21645843026418746
test-score,10,,1.0,0.3894736842105263,0.5606060606060607,
Un-score,10,9,,,,0.21720967014383694
