,Presicion,Recall,F1-score,data/ws2\ws-001.txt,data/ws2\ws-002.txt,data/ws2\ws-004.txt,data/ws2\ws-005.txt,data/ws2\ws-006.txt,data/ws2\ws-007.txt,data/ws2\ws-008.txt,data/ws2\ws-009.txt,data/ws2\ws-010.txt,data/ws2\ws-011.txt,data/ws2\ws-012.txt
1,0.8676470588235294,0.19732441471571907,0.3215258855585831,0.1609019658806576,,,,,,,,,,
2,0.8695652173913043,0.14388489208633093,0.24691358024691357,,0.1436442943037525,,,,,,,,,
3,0.7466666666666667,0.22580645161290322,0.34674922600619196,,,0.17200263760847045,,,,,,,,
4,0.8636363636363636,0.18719211822660098,0.30769230769230765,,,,0.16482582935511114,,,,,,,
5,1.0,0.10328638497652583,0.1872340425531915,,,,,0.15350922715400517,,,,,,
6,0.9411764705882353,0.06015037593984962,0.11307420494699646,,,,,,0.14660549449870675,,,,,
7,0.9428571428571428,0.1542056074766355,0.2650602409638554,,,,,,,0.19382727945608128,,,,
8,0.9,0.24324324324324326,0.3829787234042553,,,,,,,,0.21157861215655863,,,
9,0.9807692307692307,0.2512315270935961,0.39999999999999997,,,,,,,,,0.20855240047685317,,
10,1.0,0.3894736842105263,0.5606060606060607,,,,,,,,,,0.19614048308068463,
11,0.9473684210526315,0.19672131147540983,0.32579185520361986,,,,,,,,,,,0.1768128548316037
Avr,0.914516961071373,0.19568363736884917,0.3143296479256341,0.1609019658806576,0.1436442943037525,0.17200263760847045,0.16482582935511114,0.15350922715400517,0.14660549449870675,0.19382727945608128,0.21157861215655863,0.20855240047685317,0.19614048308068463,0.1768128548316037
Max,1.0,0.3894736842105263,0.5606060606060607,0.1609019658806576,0.1436442943037525,0.17200263760847045,0.16482582935511114,0.15350922715400517,0.14660549449870675,0.19382727945608128,0.21157861215655863,0.20855240047685317,0.19614048308068463,0.1768128548316037
Slope,0.014893073177021826,0.011078512284279165,0.01512955564979778,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AllTextCount,,,,1582.0,823.0,1347.0,989.0,1193.0,1541.0,1150.0,831.0,923.0,1100.0,1079.0
AllSegCount,,,,297.0,138.0,242.0,184.0,192.0,262.0,186.0,140.0,152.0,119.0,147.0
,,,,5.326599326599327,5.963768115942029,5.566115702479339,5.375,6.213541666666667,5.8816793893129775,6.182795698924731,5.935714285714286,6.072368421052632,9.243697478991596,7.340136054421769
