,Presicion,Recall,F1-score,data/sumen/sumen-01.txt,data/sumen/sumen-02.txt,data/sumen/sumen-03.txt,data/sumen/sumen-04.txt,data/sumen/sumen-05.txt,data/sumen/sumen-06.txt,data/sumen/sumen-07.txt,data/sumen/sumen-08.txt,data/sumen/sumen-10.txt,data/sumen/sumen-11.txt
1,0.7459419576979833,0.5560036663611365,0.6371179497951895,0.1495581076102357,0.15031446174053492,0.1503764851067732,0.1502265802550787,0.15020198273523364,0.14982507749948515,0.15016085782436425,0.15019998400709342,0.1495854944333593,0.150836734363101
2,0.7420777073573988,0.5525235945835043,0.6334234975890862,0.14838098091231136,0.15057794096052865,0.14980711801597113,0.14993375107203877,0.15018391780016482,0.1507543997087552,0.14989742376419127,0.15061362827951819,0.14833385321117082,
3,0.7410918600849951,0.5544142822205919,0.6343033016228316,0.1521382779082612,0.1520974040534516,0.15248771706207243,0.15215055361813998,0.15157302757785526,0.15160710729304888,0.15234881501029346,0.1521157927492084,,
4,0.7417461482024945,0.5515548281505729,0.632665832290363,0.15225749950792122,0.15216449080631667,0.1520941003254993,0.1523636817414606,0.1517068175789366,0.1527318963633705,0.15246374674547114,,,
5,0.7382663847780127,0.5442643391521197,0.6265924995514086,0.1487831258930743,0.15210527272382948,0.14932027695944744,0.15261462544946428,0.1505246148794424,0.15257179744238294,,,,
6,0.7355652595827268,0.5353107344632768,0.6196607398324137,0.14739390191825838,0.14598781858665222,0.14769400807217528,0.14653628797979323,0.14572220137477215,,,,,
7,0.7385180649112064,0.5308098591549296,0.6176696542893726,0.1490521346486252,0.1475631018359702,0.14933702735836568,0.147959488583862,,,,,,
8,0.7379095163806553,0.5249722530521642,0.6134889753566797,0.14779363368712936,0.14575528835424859,0.14648019178796043,,,,,,,
9,0.7437125748502994,0.523167649536647,0.6142433234421365,0.15101350166997832,0.1507535136070869,,,,,,,,
10,0.7337278106508875,0.49076517150395776,0.5881422924901185,0.14351986935295097,,,,,,,,,
Avr,0.7398557284496661,0.53637863781789,0.62173080662596,0.1489891033108746,0.14970214362984657,0.14969961558603312,0.15025499552854824,0.14998542699106746,0.15149805566140853,0.15121771083608004,0.15097646834527334,0.14895967382226505,0.150836734363101
Max,0.7459419576979833,0.5560036663611365,0.6371179497951895,0.15225749950792122,0.15216449080631667,0.15248771706207243,0.15261462544946428,0.1517068175789366,0.1527318963633705,0.15246374674547114,0.1521157927492084,0.1495854944333593,0.150836734363101
Slope,-0.0007683657246327671,-0.006127495312488007,-0.004430509453497048,-0.0004160305373954969,-0.0004659504501209925,-0.0005568982958983331,-0.00046900462024346176,-0.0006069435875255238,0.0007470936540410894,0.0009360058009422855,0.0009579043710574857,-0.0012516412221884876,nan
AllTextCount,,,,3281.0,1735.0,2578.0,1915.0,2267.0,1645.0,1921.0,1725.0,3127.0,2379.0
AllSegCount,,,,648.0,352.0,505.0,381.0,464.0,296.0,366.0,343.0,632.0,472.0
,,,,5.063271604938271,4.9289772727272725,5.104950495049505,5.026246719160105,4.885775862068965,5.5574324324324325,5.248633879781421,5.029154518950437,4.947784810126582,5.040254237288136
