Type,Round,Test Part,Presicion,Recall,F1-score,U-score
test-score,1,,0.9557109557109557,0.5237385565254418,0.676660706917893,
Un-score,1,1,,,,0.13727698224189966
Un-score,1,2,,,,0.13783837197991253
Un-score,1,3,,,,0.13756401252746855
Un-score,1,4,,,,0.13731490158335719
Un-score,1,5,,,,0.13752343748205223
Un-score,1,6,,,,0.13763631668261733
Un-score,1,7,,,,0.13732495709649878
Un-score,1,8,,,,0.1374723556445544
Un-score,1,9,,,,0.13779426848262208
test-score,2,,0.9339508658880387,0.5433458294283037,0.6870093319508223,
Un-score,2,2,,,,0.1244205724668521
Un-score,2,3,,,,0.1253073756060683
Un-score,2,4,,,,0.12443273315956578
Un-score,2,5,,,,0.1254874472708862
Un-score,2,6,,,,0.12540798743139092
Un-score,2,7,,,,0.12531980264835532
Un-score,2,8,,,,0.12409437911321104
Un-score,2,9,,,,0.12482472320581771
test-score,3,,0.9065623641894829,0.571037503421845,0.700705408128989,
Un-score,3,3,,,,0.1201770835344371
Un-score,3,4,,,,0.11969793029672296
Un-score,3,5,,,,0.12027854509375542
Un-score,3,6,,,,0.1202913524609122
Un-score,3,7,,,,0.12034744697251384
Un-score,3,8,,,,0.1190924324659289
Un-score,3,9,,,,0.12004973422487702
test-score,4,,0.9101736972704715,0.5761859880615772,0.7056560215467488,
Un-score,4,4,,,,0.11484643908033744
Un-score,4,5,,,,0.11521584650160026
Un-score,4,6,,,,0.11542445728595603
Un-score,4,7,,,,0.11537600183317245
Un-score,4,8,,,,0.11454414058743405
Un-score,4,9,,,,0.11524375494392795
test-score,5,,0.8736842105263158,0.6012199771254289,0.7122854561878952,
Un-score,5,5,,,,0.1141132451123342
Un-score,5,6,,,,0.11446624812890413
Un-score,5,7,,,,0.11413364242053203
Un-score,5,8,,,,0.11377561199627753
Un-score,5,9,,,,0.11464191388441608
test-score,6,,0.8994601889338731,0.5932354250111259,0.714936980423706,
Un-score,6,6,,,,0.10941002567771996
Un-score,6,7,,,,0.10938385697478363
Un-score,6,8,,,,0.10857484281825523
Un-score,6,9,,,,0.10934962207778957
test-score,7,,0.8984771573604061,0.5936277249860257,0.7149108044429485,
Un-score,7,7,,,,0.10598900079847715
Un-score,7,8,,,,0.1048302555448153
Un-score,7,9,,,,0.10563892757244751
test-score,8,,0.8887677208287895,0.5966325036603221,0.7139728427507666,
Un-score,8,8,,,,0.1043956050754267
Un-score,8,9,,,,0.10542348859829509
test-score,9,,0.8597701149425288,0.6437177280550774,0.7362204724409449,
Un-score,9,9,,,,0.10380711185083993
