Type,Round,Test Part,Presicion,Recall,F1-score,U-score
test-score,1,,0.7455018939393939,0.5772685609532539,0.6506870544477735,
Un-score,1,0,,,,0.1357675155610221
Un-score,1,1,,,,0.13553658147297887
Un-score,1,2,,,,0.13694240274232117
Un-score,1,3,,,,0.13564740527285815
Un-score,1,4,,,,0.13561386476141704
Un-score,1,5,,,,0.13544991288002342
Un-score,1,6,,,,0.13550269183294994
Un-score,1,7,,,,0.1355112930982575
Un-score,1,8,,,,0.1362749879776458
Un-score,1,9,,,,0.13675039319354151
test-score,2,,0.7477357485348961,0.575913007796471,0.6506722299490032,
Un-score,2,0,,,,0.1344034509955103
Un-score,2,1,,,,0.13420616575163213
Un-score,2,2,,,,0.13451307534705442
Un-score,2,3,,,,0.13444177643139893
Un-score,2,4,,,,0.1344289243104733
Un-score,2,5,,,,0.1334617214248281
Un-score,2,6,,,,0.13431639236988852
Un-score,2,7,,,,0.13423498002181808
Un-score,2,8,,,,0.13428740002191972
test-score,3,,0.7451725229503007,0.5756908779652726,0.6495584988962472,
Un-score,3,0,,,,0.1339365961843416
Un-score,3,1,,,,0.13371595009366036
Un-score,3,2,,,,0.134297383842314
Un-score,3,3,,,,0.13390588290268876
Un-score,3,4,,,,0.13331724426986824
Un-score,3,5,,,,0.1332772144616862
Un-score,3,6,,,,0.1339998846187032
Un-score,3,7,,,,0.133705238779092
test-score,4,,0.7456359102244389,0.5709219858156028,0.6466862351305422,
Un-score,4,0,,,,0.13301979689373325
Un-score,4,1,,,,0.13268919039696436
Un-score,4,2,,,,0.13304194613075135
Un-score,4,3,,,,0.13275765451168434
Un-score,4,4,,,,0.13228951869593383
Un-score,4,5,,,,0.13342022077828666
Un-score,4,6,,,,0.132721946034187
test-score,5,,0.7438524590163934,0.5657730673316709,0.6427053824362606,
Un-score,5,0,,,,0.1308904311715107
Un-score,5,1,,,,0.13370287925244817
Un-score,5,2,,,,0.13190540390066682
Un-score,5,3,,,,0.1340291500964011
Un-score,5,4,,,,0.13263527686018176
Un-score,5,5,,,,0.13458954953619096
test-score,6,,0.742132456552372,0.557909604519774,0.636968353154606,
Un-score,6,0,,,,0.1286929703470318
Un-score,6,1,,,,0.1276721492365339
Un-score,6,2,,,,0.1290256254971699
Un-score,6,3,,,,0.1282050688367666
Un-score,6,4,,,,0.12830893339567723
test-score,7,,0.7422740524781342,0.5602992957746479,0.6385753699523452,
Un-score,7,0,,,,0.12971381239477142
Un-score,7,1,,,,0.12766079775555927
Un-score,7,2,,,,0.1289525910599623
Un-score,7,3,,,,0.12821296338232388
test-score,8,,0.7334315169366715,0.5527192008879024,0.6303797468354431,
Un-score,8,0,,,,0.1286230319319893
Un-score,8,1,,,,0.12853439163320002
Un-score,8,2,,,,0.1289329528373279
test-score,9,,0.7325966850828729,0.5585509688289806,0.6338432122370936,
Un-score,9,0,,,,0.13191285938712813
Un-score,9,1,,,,0.12886593919415262
test-score,10,,0.7037037037037037,0.5263852242744064,0.6022641509433961,
Un-score,10,0,,,,0.13049620935529346
