Type,Round,Test Part,Presicion,Recall,F1-score,U-score
test-score,1,,0.7711355677838919,0.5651695692025664,0.6522796995662752,
Un-score,1,0,,,,0.12821551837467457
Un-score,1,1,,,,0.1276179274709175
Un-score,1,2,,,,0.1292440411910088
Un-score,1,3,,,,0.1278294270749131
Un-score,1,4,,,,0.1280826036115207
Un-score,1,5,,,,0.12719615741212043
Un-score,1,6,,,,0.12769897271131506
Un-score,1,7,,,,0.127654503463163
Un-score,1,8,,,,0.12864526550914238
Un-score,1,9,,,,0.12937186778091056
test-score,2,,0.7733408323959505,0.5642183011899877,0.6524317912218268,
Un-score,2,0,,,,0.12748522936197756
Un-score,2,1,,,,0.12771695658236773
Un-score,2,2,,,,0.1279906525347858
Un-score,2,3,,,,0.12802794247805352
Un-score,2,4,,,,0.12767860125899738
Un-score,2,5,,,,0.127264142352832
Un-score,2,6,,,,0.12795782031219033
Un-score,2,7,,,,0.12776858421925844
Un-score,2,8,,,,0.12740123217160274
test-score,3,,0.7710077000334784,0.5632183908045977,0.6509327303561334,
Un-score,3,0,,,,0.127739260971015
Un-score,3,1,,,,0.128278330154933
Un-score,3,2,,,,0.12779582122221098
Un-score,3,3,,,,0.12842233987891147
Un-score,3,4,,,,0.12758674986517554
Un-score,3,5,,,,0.12799132275468703
Un-score,3,6,,,,0.12851871976255688
Un-score,3,7,,,,0.1283917941058319
test-score,4,,0.7712886209495102,0.5583742498636116,0.6477848101265823,
Un-score,4,0,,,,0.1267523991940878
Un-score,4,1,,,,0.1265037728308162
Un-score,4,2,,,,0.12672147659317487
Un-score,4,3,,,,0.1263715211006877
Un-score,4,4,,,,0.12587732489321268
Un-score,4,5,,,,0.1268807079383534
Un-score,4,6,,,,0.12634823267006148
test-score,5,,0.7678260869565218,0.550498753117207,0.6412490922294843,
Un-score,5,0,,,,0.12578785763618508
Un-score,5,1,,,,0.12746846439519835
Un-score,5,2,,,,0.1270292524005155
Un-score,5,3,,,,0.1286702132318906
Un-score,5,4,,,,0.12714695566692638
Un-score,5,5,,,,0.12841041408121256
test-score,6,,0.7668497254118821,0.5423728813559322,0.6353671147880041,
Un-score,6,0,,,,0.12381783371748036
Un-score,6,1,,,,0.12343816059660023
Un-score,6,2,,,,0.12418051208628267
Un-score,6,3,,,,0.12354313413493057
Un-score,6,4,,,,0.12322276401952918
test-score,7,,0.7689912826899128,0.5435739436619719,0.6369262506446622,
Un-score,7,0,,,,0.1248735121176929
Un-score,7,1,,,,0.12297168745648172
Un-score,7,2,,,,0.12437588087393668
Un-score,7,3,,,,0.1238666900599769
test-score,8,,0.7594339622641509,0.5360710321864595,0.6284970722186076,
Un-score,8,0,,,,0.123407082537861
Un-score,8,1,,,,0.12338802945940433
Un-score,8,2,,,,0.12370899709403523
test-score,9,,0.7649880095923262,0.5374894692502106,0.6313706086095991,
Un-score,9,0,,,,0.12561214394709375
Un-score,9,1,,,,0.12342872698142845
test-score,10,,0.7390476190476191,0.5118733509234829,0.6048324240062354,
Un-score,10,0,,,,0.1238496913710328
