Type,Round,Test Part,Presicion,Recall,F1-score,U-score
test-score,1,,0.9750503018108652,0.5158611879923355,0.6747424115845168,
Un-score,1,1,,,,0.12683341149484512
Un-score,1,2,,,,0.12638718911611144
Un-score,1,3,,,,0.12666963840382237
Un-score,1,4,,,,0.12595858955452283
Un-score,1,5,,,,0.12704204138973096
Un-score,1,6,,,,0.12671867723300195
Un-score,1,7,,,,0.12677478485249982
Un-score,1,8,,,,0.12628240336892468
Un-score,1,9,,,,0.12631929332398784
test-score,2,,0.9677696605070907,0.5211756537838463,0.677496991576414,
Un-score,2,1,,,,0.10855818953995842
Un-score,2,2,,,,0.10709829454677787
Un-score,2,3,,,,0.10790052345549424
Un-score,2,4,,,,0.10671364280137434
Un-score,2,6,,,,0.10795441152879828
Un-score,2,7,,,,0.10844321221241604
Un-score,2,8,,,,0.10672732808953415
Un-score,2,9,,,,0.10709806333448356
test-score,3,,0.9526813880126183,0.5431654676258992,0.6918671248568155,
Un-score,3,2,,,,0.10201310849288343
Un-score,3,3,,,,0.10314383289148513
Un-score,3,4,,,,0.1018786952653821
Un-score,3,6,,,,0.10328761533210334
Un-score,3,7,,,,0.10364684149803327
Un-score,3,8,,,,0.10146258274623214
Un-score,3,9,,,,0.10216564707597316
test-score,4,,0.9395577395577396,0.5511674834246181,0.694767441860465,
Un-score,4,2,,,,0.09930739147994838
Un-score,4,3,,,,0.10040585316341871
Un-score,4,4,,,,0.0990626956442008
Un-score,4,6,,,,0.10055518635671329
Un-score,4,8,,,,0.09893022010202968
Un-score,4,9,,,,0.09939311460536358
test-score,5,,0.9349862258953168,0.5636001328462305,0.7032739328636552,
Un-score,5,2,,,,0.09519920852942775
Un-score,5,3,,,,0.09662274566436656
Un-score,5,4,,,,0.09505430298798287
Un-score,5,8,,,,0.09513527180172887
Un-score,5,9,,,,0.09541402921239862
test-score,6,,0.9342693044033185,0.5761511216056671,0.7127555988315482,
Un-score,6,2,,,,0.09293657221837522
Un-score,6,4,,,,0.0930042051888347
Un-score,6,8,,,,0.09282033821303173
Un-score,6,9,,,,0.09316869063615517
test-score,7,,0.918918918918919,0.5897959183673469,0.7184586699813548,
Un-score,7,2,,,,0.10049471422963294
Un-score,7,4,,,,0.09996364283595233
Un-score,7,8,,,,0.10010461946418522
test-score,8,,0.9215686274509803,0.5940520446096654,0.7224231464737795,
Un-score,8,4,,,,0.09653513627185514
Un-score,8,8,,,,0.09626808049315169
test-score,9,,0.9041353383458647,0.6127388535031847,0.7304479878511768,
Un-score,9,8,,,,0.09425950136068371
