,Presicion,Recall,F1-score,data/sumen/sumen-01.txt,data/sumen/sumen-02.txt,data/sumen/sumen-03.txt,data/sumen/sumen-04.txt,data/sumen/sumen-05.txt,data/sumen/sumen-06.txt,data/sumen/sumen-07.txt,data/sumen/sumen-08.txt,data/sumen/sumen-10.txt,data/sumen/sumen-11.txt
1,0.9750503018108652,0.5158611879923355,0.6747424115845168,,0.12683341149484512,0.12638718911611144,0.12666963840382237,0.12595858955452283,0.12704204138973096,0.12671867723300195,0.12677478485249982,0.12628240336892468,0.12631929332398784
2,0.9677696605070907,0.5211756537838463,0.677496991576414,,0.10855818953995842,0.10709829454677787,0.10790052345549424,0.10671364280137434,,0.10795441152879828,0.10844321221241604,0.10672732808953415,0.10709806333448356
3,0.9526813880126183,0.5431654676258992,0.6918671248568155,,,0.10201310849288343,0.10314383289148513,0.1018786952653821,,0.10328761533210334,0.10364684149803327,0.10146258274623214,0.10216564707597316
4,0.9395577395577396,0.5511674834246181,0.694767441860465,,,0.09930739147994838,0.10040585316341871,0.0990626956442008,,0.10055518635671329,,0.09893022010202968,0.09939311460536358
5,0.9349862258953168,0.5636001328462305,0.7032739328636552,,,0.09519920852942775,0.09662274566436656,0.09505430298798287,,,,0.09513527180172887,0.09541402921239862
6,0.9342693044033185,0.5761511216056671,0.7127555988315482,,,0.09293657221837522,,0.0930042051888347,,,,0.09282033821303173,0.09316869063615517
7,0.918918918918919,0.5897959183673469,0.7184586699813548,,,0.10049471422963294,,0.09996364283595233,,,,0.10010461946418522,
8,0.9215686274509803,0.5940520446096654,0.7224231464737795,,,,,0.09653513627185514,,,,0.09626808049315169,
9,0.9041353383458647,0.6127388535031847,0.7304479878511768,,,,,,,,,0.09425950136068371,
Avr,0.9387708338780791,0.5630786515287549,0.702914811764414,,0.11769580051740178,0.10334806837330815,0.1069485187157174,0.10227136381876314,0.12704204138973096,0.10962897261265421,0.11295494618764972,0.10133226062661133,0.10392647303139367
Max,0.9750503018108652,0.6127388535031847,0.7304479878511768,,0.12683341149484512,0.12638718911611144,0.12666963840382237,0.12595858955452283,0.12704204138973096,0.12671867723300195,0.12677478485249982,0.12628240336892468,0.12631929332398784
Slope,-0.008251272106169211,0.012073072903079974,0.0071462002829816434,,-0.018275221954886692,-0.004029098902846303,-0.006758845577098715,-0.003218405186805285,nan,-0.008315726882556093,-0.011563971677233276,-0.002804919321253384,-0.005816504236457935
AllTextCount,,,,3281.0,1735.0,2578.0,1915.0,2267.0,1645.0,1921.0,1725.0,3127.0,2379.0
AllSegCount,,,,648.0,352.0,505.0,381.0,464.0,296.0,366.0,343.0,632.0,472.0
,,,,5.063271604938271,4.9289772727272725,5.104950495049505,5.026246719160105,4.885775862068965,5.5574324324324325,5.248633879781421,5.029154518950437,4.947784810126582,5.040254237288136
