,Presicion,Recall,F1-score,data/sumen/sumen-01.txt,data/sumen/sumen-02.txt,data/sumen/sumen-03.txt,data/sumen/sumen-04.txt,data/sumen/sumen-05.txt,data/sumen/sumen-06.txt,data/sumen/sumen-07.txt,data/sumen/sumen-08.txt,data/sumen/sumen-10.txt,data/sumen/sumen-11.txt
1,0.9750503018108652,0.5158611879923355,0.6747424115845168,,0.12683341149484512,0.12638718911611144,0.12666963840382237,0.12595858955452283,0.12704204138973096,0.12671867723300195,0.12677478485249982,0.12628240336892468,0.12631929332398784
2,0.9464212678936605,0.5421743205248359,0.6894086101593923,,,0.11396014016588614,0.11471126497866199,0.11374115587525964,0.11555642639010921,0.11482300920174843,0.11496942351940564,0.1136934727300709,0.11405340837794034
3,0.9339875111507583,0.5732274842595128,0.7104325699745547,,,,0.10837587385419692,0.10746902408739153,0.10872142707076697,0.10852296641218041,0.10817575711878133,0.10755001760602785,0.10782752008279918
4,0.925615763546798,0.5903235940936223,0.7208900824860924,,,,,0.10136239314003166,0.10250901680094485,0.10252593513383722,0.10208416543946383,0.10139854782162558,0.10152110445791052
5,0.9170925610448609,0.6157072054898971,0.7367700729927007,,,,,,0.10084434499997096,0.10070899487963464,0.10030399491786074,0.09938777318773233,0.09983977658800489
6,0.9262798634812287,0.6039163328882955,0.7311422413793103,,,,,,,0.09096840778946587,0.09087860134875793,0.08960643292802004,0.08990447318084666
7,0.9193682460515378,0.6182224706539966,0.7393048128342247,,,,,,,,0.09495144909513248,0.09345974931722693,0.09380727151628877
8,0.9234135667396062,0.6178623718887262,0.7403508771929824,,,,,,,,,0.09289397148008008,0.09339274794661688
9,0.9176470588235294,0.6712564543889845,0.7753479125248508,,,,,,,,,,0.09186402115240579
Avr,0.9316529045047606,0.5942834913533562,0.7242655101254027,,0.12683341149484512,0.1201736646409988,0.1165855924122271,0.11213279066430142,0.1109346513303046,0.10737799844164475,0.1054483108988431,0.10303404605496354,0.10205884629186675
Max,0.9750503018108652,0.6712564543889845,0.7753479125248508,,0.12683341149484512,0.12638718911611144,0.12666963840382237,0.12595858955452283,0.12704204138973096,0.12671867723300195,0.12677478485249982,0.12628240336892468,0.12631929332398784
Slope,-0.005453508427925276,0.015870465521031794,0.010387424157911074,,nan,-0.012427048950225297,-0.009146882274812723,-0.00800607210313416,-0.0065442802368684385,-0.00648829775606757,-0.005411550493368502,-0.0046515377256434376,-0.003991003306506388
AllTextCount,,,,3281.0,1735.0,2578.0,1915.0,2267.0,1645.0,1921.0,1725.0,3127.0,2379.0
AllSegCount,,,,648.0,352.0,505.0,381.0,464.0,296.0,366.0,343.0,632.0,472.0
,,,,5.063271604938271,4.9289772727272725,5.104950495049505,5.026246719160105,4.885775862068965,5.5574324324324325,5.248633879781421,5.029154518950437,4.947784810126582,5.040254237288136
