Type,Round,Test Part,Presicion,Recall,F1-score,U-score
test-score,1,,0.6825085100811731,0.322307406949425,0.43784646396774735,
Un-score,1,0,,,,0.10592553743074497
Un-score,1,1,,,,0.10661983983736562
Un-score,1,2,,,,0.1137370950750889
Un-score,1,3,,,,0.11456749631017292
Un-score,1,4,,,,0.11566737057211654
Un-score,1,5,,,,0.11422491398999321
Un-score,1,6,,,,0.11391271448880066
Un-score,1,7,,,,0.11065160079534196
Un-score,1,8,,,,0.11427603189933637
Un-score,1,9,,,,0.10736200934774755
Un-score,1,10,,,,0.11459384335077488
test-score,2,,0.6813918716868289,0.3213873573535069,0.43676758876061855,
Un-score,2,0,,,,0.10513326301426568
Un-score,2,1,,,,0.10310938689499374
Un-score,2,2,,,,0.10636276044550953
Un-score,2,3,,,,0.11439623949531788
Un-score,2,4,,,,0.11104159639504416
Un-score,2,5,,,,0.10705736670118979
Un-score,2,6,,,,0.10872149459494838
Un-score,2,7,,,,0.10498751440063357
Un-score,2,8,,,,0.11415722001674133
Un-score,2,9,,,,0.10304898078492626
test-score,3,,0.6456734124214933,0.27510592432914593,0.3858222569715924,
Un-score,3,0,,,,0.11173137479320797
Un-score,3,1,,,,0.10840123237639157
Un-score,3,2,,,,0.10834581150105525
Un-score,3,3,,,,0.1084601502280506
Un-score,3,4,,,,0.10754547082308336
Un-score,3,5,,,,0.10835684380204372
Un-score,3,6,,,,0.10827086826196074
Un-score,3,7,,,,0.10826753406187764
Un-score,3,8,,,,0.10833855346130443
test-score,4,,0.6342463201043413,0.2659375,0.37474541751527496,
Un-score,4,0,,,,0.11377434394430305
Un-score,4,1,,,,0.10854391551331553
Un-score,4,2,,,,0.10868554096244151
Un-score,4,3,,,,0.10902980424481276
Un-score,4,4,,,,0.1088792686550742
Un-score,4,5,,,,0.10867792967187347
Un-score,4,6,,,,0.10865860694286202
Un-score,4,7,,,,0.10902975295342703
test-score,5,,0.5837950138504155,0.23148741418764301,0.33151995805204165,
Un-score,5,0,,,,0.11924688524706008
Un-score,5,1,,,,0.11737834973246593
Un-score,5,2,,,,0.11262018071700713
Un-score,5,3,,,,0.10701461752845254
Un-score,5,4,,,,0.1082188386020083
Un-score,5,5,,,,0.11137996884546969
Un-score,5,6,,,,0.10928917543314237
test-score,6,,0.547104350146784,0.20877889805479172,0.3022261536193424,
Un-score,6,0,,,,0.12415787669605304
Un-score,6,1,,,,0.12149109810651984
Un-score,6,2,,,,0.12397790209867209
Un-score,6,3,,,,0.12535820209926177
Un-score,6,4,,,,0.12447975077757997
Un-score,6,5,,,,0.12431131665172533
test-score,7,,0.5506365740740741,0.21679197994987467,0.3111002125224783,
Un-score,7,0,,,,0.1261360854677941
Un-score,7,1,,,,0.12310008460500316
Un-score,7,2,,,,0.11828007282454743
Un-score,7,3,,,,0.11743625862146648
Un-score,7,4,,,,0.11773389391325624
test-score,8,,0.5431904161412359,0.2145703611457036,0.3076236386359579,
Un-score,8,0,,,,0.12908129571610671
Un-score,8,1,,,,0.12771133507678087
Un-score,8,2,,,,0.12493868178983118
Un-score,8,3,,,,0.12178412236507011
test-score,9,,0.5275563258232235,0.20315002669514148,0.29334104269056566,
Un-score,9,0,,,,0.13024267917829976
Un-score,9,1,,,,0.12961117465203695
Un-score,9,2,,,,0.12842077717786776
test-score,10,,0.5318035426731079,0.2095827383785499,0.30067144645499033,
Un-score,10,0,,,,0.13184726290403465
Un-score,10,1,,,,0.13130557139497198
test-score,11,,0.5185185185185185,0.20445544554455444,0.2932717912302503,
Un-score,11,0,,,,0.1329560199610731
