Type,Round,Test Part,Presicion,Recall,F1-score,U-score
test-score,1,,0.6083696837513631,0.3678094610186253,0.4584488957370313,
Un-score,1,1,,,,0.17251576454823822
Un-score,1,2,,,,0.17643008066895308
Un-score,1,3,,,,0.1785503547615421
Un-score,1,4,,,,0.17812597417866793
Un-score,1,5,,,,0.1770749843429981
Un-score,1,6,,,,0.1768546309285826
Un-score,1,7,,,,0.17523438567653868
Un-score,1,8,,,,0.17727895932881838
Un-score,1,9,,,,0.17280784239120706
Un-score,1,10,,,,0.17728439362752527
test-score,2,,0.6852423794816704,0.44006553984132457,0.5359449666544137,
Un-score,2,1,,,,0.15115889160507362
Un-score,2,2,,,,0.15557379324306586
Un-score,2,4,,,,0.1572738206927777
Un-score,2,5,,,,0.1559144388903923
Un-score,2,6,,,,0.15549540022146763
Un-score,2,7,,,,0.15401328270111858
Un-score,2,8,,,,0.15588429751716976
Un-score,2,9,,,,0.15174690555901293
Un-score,2,10,,,,0.15627557586760515
test-score,3,,0.7340725427551212,0.3600663716814159,0.48314676232296366,
Un-score,3,1,,,,0.1391769291126802
Un-score,3,2,,,,0.1434487456300748
Un-score,3,5,,,,0.14382173043329113
Un-score,3,6,,,,0.1430789461948684
Un-score,3,7,,,,0.14198769730413774
Un-score,3,8,,,,0.14396890762725242
Un-score,3,9,,,,0.13993788693501277
Un-score,3,10,,,,0.14442152544903383
test-score,4,,0.7111111111111111,0.42679127725856697,0.5334306746973291,
Un-score,4,1,,,,0.13689526280349068
Un-score,4,2,,,,0.13816435320348677
Un-score,4,5,,,,0.13870264600920837
Un-score,4,6,,,,0.13926067902615266
Un-score,4,7,,,,0.1374005463725425
Un-score,4,8,,,,0.1414466494721581
Un-score,4,9,,,,0.1362454719807408
test-score,5,,0.7154305468258957,0.4733340264060713,0.5697303384846399,
Un-score,5,1,,,,0.13291907429190028
Un-score,5,2,,,,0.13476727686413847
Un-score,5,5,,,,0.13538895711896642
Un-score,5,6,,,,0.13582444732462173
Un-score,5,7,,,,0.13399067647721016
Un-score,5,9,,,,0.13274902636854377
test-score,6,,0.7460430375244531,0.49277575472806295,0.593520090548953,
Un-score,6,1,,,,0.12320546668544556
Un-score,6,2,,,,0.12538606955503584
Un-score,6,5,,,,0.12600224381153263
Un-score,6,7,,,,0.12471173458462696
Un-score,6,9,,,,0.12305729886711889
test-score,7,,0.7324348607367476,0.5455032119914347,0.6252972309580425,
Un-score,7,1,,,,0.12228527353360817
Un-score,7,2,,,,0.12485227597404643
Un-score,7,7,,,,0.1239844796754484
Un-score,7,9,,,,0.12206334396590263
test-score,8,,0.7689351119149899,0.5413019258316091,0.6353446665421258,
Un-score,8,1,,,,0.12797213124077195
Un-score,8,7,,,,0.12933762595246703
Un-score,8,9,,,,0.1276933960177248
test-score,9,,0.7453083109919572,0.5676043557168784,0.6444301352221506,
Un-score,9,1,,,,0.1200783494398803
Un-score,9,9,,,,0.12020047038718505
test-score,10,,0.7442218798151001,0.42686699072028284,0.5425442291491154,
Un-score,10,1,,,,0.10340994967500075
