,Presicion,Recall,F1-score,data/ws/ws-001.txt,data/ws/ws-002.txt,data/ws/ws-004.txt,data/ws/ws-005.txt,data/ws/ws-006.txt,data/ws/ws-007.txt,data/ws/ws-008.txt,data/ws/ws-009.txt,data/ws/ws-010.txt,data/ws/ws-011.txt,data/ws/ws-012.txt
1,0.6083696837513631,0.3678094610186253,0.4584488957370313,,0.17251576454823822,0.17643008066895308,0.1785503547615421,0.17812597417866793,0.1770749843429981,0.1768546309285826,0.17523438567653868,0.17727895932881838,0.17280784239120706,0.17728439362752527
2,0.6852423794816704,0.44006553984132457,0.5359449666544137,,0.15115889160507362,0.15557379324306586,,0.1572738206927777,0.1559144388903923,0.15549540022146763,0.15401328270111858,0.15588429751716976,0.15174690555901293,0.15627557586760515
3,0.7340725427551212,0.3600663716814159,0.48314676232296366,,0.1391769291126802,0.1434487456300748,,,0.14382173043329113,0.1430789461948684,0.14198769730413774,0.14396890762725242,0.13993788693501277,0.14442152544903383
4,0.7111111111111111,0.42679127725856697,0.5334306746973291,,0.13689526280349068,0.13816435320348677,,,0.13870264600920837,0.13926067902615266,0.1374005463725425,0.1414466494721581,0.1362454719807408,
5,0.7154305468258957,0.4733340264060713,0.5697303384846399,,0.13291907429190028,0.13476727686413847,,,0.13538895711896642,0.13582444732462173,0.13399067647721016,,0.13274902636854377,
6,0.7460430375244531,0.49277575472806295,0.593520090548953,,0.12320546668544556,0.12538606955503584,,,0.12600224381153263,,0.12471173458462696,,0.12305729886711889,
7,0.7324348607367476,0.5455032119914347,0.6252972309580425,,0.12228527353360817,0.12485227597404643,,,,,0.1239844796754484,,0.12206334396590263,
8,0.7689351119149899,0.5413019258316091,0.6353446665421258,,0.12797213124077195,,,,,,0.12933762595246703,,0.1276933960177248,
9,0.7453083109919572,0.5676043557168784,0.6444301352221506,,0.1200783494398803,,,,,,,,0.12020047038718505,
10,0.7442218798151001,0.42686699072028284,0.5425442291491154,,0.10340994967500075,,,,,,,,,
Avr,0.7191169464908409,0.4642118915194272,0.5621837990316765,,0.13296170929360898,0.14266037073411447,0.1785503547615421,0.16769989743572283,0.14615083343439816,0.1501028207391386,0.14008255359301125,0.15464470348634968,0.13627796027471653,0.1593271649813881
Max,0.7689351119149899,0.5676043557168784,0.6444301352221506,,0.17251576454823822,0.17643008066895308,0.1785503547615421,0.17812597417866793,0.1770749843429981,0.1768546309285826,0.17523438567653868,0.17727895932881838,0.17280784239120706,0.17728439362752527
Slope,0.01158804770012394,0.016400271404335486,0.015615958318940484,,-0.005752022386612934,-0.007992511793811295,nan,-0.02085215348589023,-0.009201692354162506,-0.009829508840323672,-0.006269751086318061,-0.011941231945989816,-0.005525454594863244,-0.016431434089245717
AllTextCount,,,,21005.0,12951.0,6588.0,2664.0,4105.0,6071.0,5036.0,8378.0,2959.0,11802.0,3119.0
AllSegCount,,,,4078.0,2246.0,1180.0,462.0,674.0,1029.0,880.0,1440.0,498.0,1443.0,470.0
,,,,5.150809220205983,5.766251113089938,5.583050847457627,5.766233766233766,6.0905044510385755,5.899902818270165,5.722727272727273,5.8180555555555555,5.9417670682730925,8.17879417879418,6.636170212765958
