,Presicion,Recall,F1-score,data/ws/ws-001.txt,data/ws/ws-002.txt,data/ws/ws-004.txt,data/ws/ws-005.txt,data/ws/ws-006.txt,data/ws/ws-007.txt,data/ws/ws-008.txt,data/ws/ws-009.txt,data/ws/ws-010.txt,data/ws/ws-011.txt,data/ws/ws-012.txt
1,0.7677783659784718,0.269011994559169,0.39842498054118397,0.09023129161979422,0.09103902595278307,0.09653349547916613,0.09724535977987865,0.09824136093971131,0.0969209084982664,0.09651848031296822,0.09417281712465175,0.09693470171361246,0.09174148064494596,0.097292528872072
2,0.7667402501839587,0.2672137453519682,0.39631073500047537,0.08928632166611987,0.08832069296573702,0.09085735144315818,0.09709643283669081,0.094372562910324,0.09134805080808683,0.09266234789352389,0.08996098984234316,0.09683068333774968,0.08823589967420624,
3,0.7295866935483871,0.21519363710696499,0.33235749956948507,0.09479558558885438,0.09093977365038423,0.09086376268778945,0.091244051153767,0.09081277435352335,0.09106922059591031,0.0912106904712694,0.0908884191216502,0.09148799673356578,,
4,0.7160865990682379,0.204140625,0.3177092832391027,0.09712701010895874,0.09104741019360085,0.0909824710650595,0.09095721424617205,0.09070220204057206,0.09097161611562438,0.09069804317734188,0.09093779351778922,,,
5,0.6523636363636364,0.16421052631578947,0.26237659963436927,0.10388428670028903,0.10191565203581855,0.09687821417160576,0.09119436627979424,0.09183496498342311,0.0955469378137123,0.09311557441723677,,,,
6,0.5957540911101282,0.13718301252673387,0.22301324503311254,0.10902689669318064,0.1063297962643658,0.10850611866279264,0.11024113632889636,0.10882143153554774,0.10889018813394255,,,,,
7,0.5976133651551313,0.14262930052403736,0.23029522670836017,0.11121731254502808,0.10799125969095529,0.10340583339352741,0.10359733291506251,0.10348769890914931,,,,,,
8,0.5917602996254682,0.137733499377335,0.22345691483988284,0.11379905315760301,0.1126051467439752,0.10931249712233569,0.10573777595206085,,,,,,,
9,0.5683890577507599,0.12479978643886813,0.2046623618255445,0.11505072082069334,0.11481616220824496,0.11305068480333734,,,,,,,,
10,0.5689170182841069,0.12835157861335872,0.20944983818770224,0.11695208423413078,0.11612850201619387,,,,,,,,,
11,0.5397536394176932,0.1193069306930693,0.19541860936549765,0.11780925198548904,,,,,,,,,,
Avr,0.6449766378623617,0.17361587604611764,0.2721341176313378,0.1053799831927401,0.10211334217220588,0.10004338098097468,0.0984142086865403,0.09689614223889298,0.09579115366092379,0.09284102725446804,0.09149000490160858,0.09508446059497598,0.0899886901595761,0.097292528872072
Max,0.7677783659784718,0.269011994559169,0.39842498054118397,0.11780925198548904,0.11612850201619387,0.11305068480333734,0.11024113632889636,0.10882143153554774,0.10889018813394255,0.09651848031296822,0.09417281712465175,0.09693470171361246,0.09174148064494596,0.097292528872072
Slope,-0.024712839435365702,-0.01572319104842099,-0.021510426964416317,0.0031817760885278386,0.0034839159239807163,0.0027340330557237735,0.0017759502518588592,0.0016306764924521877,0.0020670129918563206,-0.0008770116507644921,-0.0008777641541280565,-0.0027233524900233397,-0.003505580970739719,nan
AllTextCount,,,,21005.0,12951.0,6588.0,2664.0,4105.0,6071.0,5036.0,8378.0,2959.0,11802.0,3119.0
AllSegCount,,,,4078.0,2246.0,1180.0,462.0,674.0,1029.0,880.0,1440.0,498.0,1443.0,470.0
,,,,5.150809220205983,5.766251113089938,5.583050847457627,5.766233766233766,6.0905044510385755,5.899902818270165,5.722727272727273,5.8180555555555555,5.9417670682730925,8.17879417879418,6.636170212765958
