Type,Round,Test Part,Presicion,Recall,F1-score,U-score
test-score,1,,0.7728592162554426,0.26338568072214663,0.3928801992068615,
Un-score,1,0,,,,0.09274807043064873
Un-score,1,1,,,,0.09372377835263009
Un-score,1,2,,,,0.09935421847316127
Un-score,1,3,,,,0.09976479048621752
Un-score,1,4,,,,0.10081846755880426
Un-score,1,5,,,,0.09966404023706144
Un-score,1,6,,,,0.09914828120466003
Un-score,1,7,,,,0.09698221693564836
Un-score,1,8,,,,0.09956510762582545
Un-score,1,9,,,,0.09438535550855107
Un-score,1,10,,,,0.09991801000092046
test-score,2,,0.7723915925014202,0.26150788562636235,0.3907275252646199,
Un-score,2,0,,,,0.0917837046048231
Un-score,2,1,,,,0.09096594005021491
Un-score,2,2,,,,0.09358797953214545
Un-score,2,3,,,,0.09961494719528328
Un-score,2,4,,,,0.09708576000228449
Un-score,2,5,,,,0.09411926626727853
Un-score,2,6,,,,0.09546993992121143
Un-score,2,7,,,,0.0925423006421582
Un-score,2,8,,,,0.09946935960613
Un-score,2,9,,,,0.09082847183994254
test-score,3,,0.7357947106572401,0.20887534378948933,0.325382121352478,
Un-score,3,0,,,,0.09721345423355737
Un-score,3,1,,,,0.09315489232770449
Un-score,3,2,,,,0.09304192652937707
Un-score,3,3,,,,0.09350623312112083
Un-score,3,4,,,,0.09299068932104644
Un-score,3,5,,,,0.09321083822090799
Un-score,3,6,,,,0.0931807225315065
Un-score,3,7,,,,0.09310313282547283
Un-score,3,8,,,,0.09354845921483947
test-score,4,,0.7227467811158799,0.19734375,0.3100337526848727,
Un-score,4,0,,,,0.09965232672092922
Un-score,4,1,,,,0.09334636079997649
Un-score,4,2,,,,0.09319426343668176
Un-score,4,3,,,,0.09297818020275211
Un-score,4,4,,,,0.09299558186198573
Un-score,4,5,,,,0.09321753773951144
Un-score,4,6,,,,0.09301288710937525
Un-score,4,7,,,,0.09309231299062538
test-score,5,,0.6574181117533718,0.15615560640732265,0.2523668639053254,
Un-score,5,0,,,,0.10650115171631894
Un-score,5,1,,,,0.10461812977126617
Un-score,5,2,,,,0.09942374918024868
Un-score,5,3,,,,0.09352561153064885
Un-score,5,4,,,,0.09421434203651587
Un-score,5,5,,,,0.09804045100627068
Un-score,5,6,,,,0.0954309591074612
test-score,6,,0.5970574276222117,0.1281189530502088,0.2109676337414053,
Un-score,6,0,,,,0.11133508639274367
Un-score,6,1,,,,0.1090836544382428
Un-score,6,2,,,,0.11167438915586836
Un-score,6,3,,,,0.11335189617746763
Un-score,6,4,,,,0.11200984659411131
Un-score,6,5,,,,0.1122039644570372
test-score,7,,0.5976482617586912,0.1331738437001595,0.21781255822619713,
Un-score,7,0,,,,0.11293854524806358
Un-score,7,1,,,,0.11003132075628842
Un-score,7,2,,,,0.10567755080388033
Un-score,7,3,,,,0.10534024745650174
Un-score,7,4,,,,0.10562906419251053
test-score,8,,0.5875933371625502,0.1273972602739726,0.20939514891003994,
Un-score,8,0,,,,0.11548497860596316
Un-score,8,1,,,,0.11417723285473586
Un-score,8,2,,,,0.11152375756432506
Un-score,8,3,,,,0.1079937858886783
test-score,9,,0.5609436435124509,0.11425520555258943,0.1898425371479264,
Un-score,9,0,,,,0.11667664076895883
Un-score,9,1,,,,0.11610996477810206
Un-score,9,2,,,,0.11462778908441662
test-score,10,,0.5675057208237986,0.11803902903379343,0.19542947202521674,
Un-score,10,0,,,,0.11858626114677713
Un-score,10,1,,,,0.11773522919551568
test-score,11,,0.5289855072463768,0.10841584158415841,0.1799506984387839,
Un-score,11,0,,,,0.12006979678433682
