,Presicion,Recall,F1-score,data/ws/ws-001.txt,data/ws/ws-002.txt,data/ws/ws-004.txt,data/ws/ws-005.txt,data/ws/ws-006.txt,data/ws/ws-007.txt,data/ws/ws-008.txt,data/ws/ws-009.txt,data/ws/ws-010.txt,data/ws/ws-011.txt,data/ws/ws-012.txt
1,0.7728592162554426,0.26338568072214663,0.3928801992068615,0.09274807043064873,0.09372377835263009,0.09935421847316127,0.09976479048621752,0.10081846755880426,0.09966404023706144,0.09914828120466003,0.09698221693564836,0.09956510762582545,0.09438535550855107,0.09991801000092046
2,0.7723915925014202,0.26150788562636235,0.3907275252646199,0.0917837046048231,0.09096594005021491,0.09358797953214545,0.09961494719528328,0.09708576000228449,0.09411926626727853,0.09546993992121143,0.0925423006421582,0.09946935960613,0.09082847183994254,
3,0.7357947106572401,0.20887534378948933,0.325382121352478,0.09721345423355737,0.09315489232770449,0.09304192652937707,0.09350623312112083,0.09299068932104644,0.09321083822090799,0.0931807225315065,0.09310313282547283,0.09354845921483947,,
4,0.7227467811158799,0.19734375,0.3100337526848727,0.09965232672092922,0.09334636079997649,0.09319426343668176,0.09297818020275211,0.09299558186198573,0.09321753773951144,0.09301288710937525,0.09309231299062538,,,
5,0.6574181117533718,0.15615560640732265,0.2523668639053254,0.10650115171631894,0.10461812977126617,0.09942374918024868,0.09352561153064885,0.09421434203651587,0.09804045100627068,0.0954309591074612,,,,
6,0.5970574276222117,0.1281189530502088,0.2109676337414053,0.11133508639274367,0.1090836544382428,0.11167438915586836,0.11335189617746763,0.11200984659411131,0.1122039644570372,,,,,
7,0.5976482617586912,0.1331738437001595,0.21781255822619713,0.11293854524806358,0.11003132075628842,0.10567755080388033,0.10534024745650174,0.10562906419251053,,,,,,
8,0.5875933371625502,0.1273972602739726,0.20939514891003994,0.11548497860596316,0.11417723285473586,0.11152375756432506,0.1079937858886783,,,,,,,
9,0.5609436435124509,0.11425520555258943,0.1898425371479264,0.11667664076895883,0.11610996477810206,0.11462778908441662,,,,,,,,
10,0.5675057208237986,0.11803902903379343,0.19542947202521674,0.11858626114677713,0.11773522919551568,,,,,,,,,
11,0.5289855072463768,0.10841584158415841,0.1799506984387839,0.12006979678433682,,,,,,,,,,
Avr,0.6455403918554031,0.16515167270365486,0.261344410082157,0.1075445469684655,0.1042946503324677,0.10245618041778941,0.10075946150733378,0.09939196450960838,0.09840934965467786,0.09524855797484287,0.0939299908484762,0.09752764214893163,0.09260691367424681,0.09991801000092046
Max,0.7728592162554426,0.26338568072214663,0.3928801992068615,0.12006979678433682,0.11773522919551568,0.11462778908441662,0.11335189617746763,0.11200984659411131,0.1122039644570372,0.09914828120466003,0.09698221693564836,0.09956510762582545,0.09438535550855107,0.09991801000092046
Slope,-0.02630492700992294,-0.01632236162663759,-0.02262081802400409,0.003093737407675213,0.003343899017286361,0.0026442165134958895,0.0017418320192887492,0.0016251291357229243,0.0021277107095845358,-0.0009891697006233838,-0.0011108879651754292,-0.0030083242054929904,-0.0035568836686085264,nan
AllTextCount,,,,21005.0,12951.0,6588.0,2664.0,4105.0,6071.0,5036.0,8378.0,2959.0,11802.0,3119.0
AllSegCount,,,,4078.0,2246.0,1180.0,462.0,674.0,1029.0,880.0,1440.0,498.0,1443.0,470.0
,,,,5.150809220205983,5.766251113089938,5.583050847457627,5.766233766233766,6.0905044510385755,5.899902818270165,5.722727272727273,5.8180555555555555,5.9417670682730925,8.17879417879418,6.636170212765958
