Type,Round,Test Part,Presicion,Recall,F1-score,U-score
test-score,1,,0.6689774696707106,0.349925828251195,0.459498944862291,
Un-score,1,1,,,,0.1491509738610744
Un-score,1,2,,,,0.15630433949326428
Un-score,1,3,,,,0.1583735149415271
Un-score,1,4,,,,0.15807214383722576
Un-score,1,5,,,,0.1571447877001057
Un-score,1,6,,,,0.1569165324986938
Un-score,1,7,,,,0.15360909747251508
Un-score,1,8,,,,0.15740172357225504
Un-score,1,9,,,,0.15007835673280862
Un-score,1,10,,,,0.15726386688472802
test-score,2,,0.650285293576293,0.357917130989768,0.46170935703084165,
Un-score,2,2,,,,0.1446750393118381
Un-score,2,3,,,,0.14682252684245048
Un-score,2,4,,,,0.14724366732289854
Un-score,2,5,,,,0.14554710962008297
Un-score,2,6,,,,0.1452146616068369
Un-score,2,7,,,,0.1419795755961994
Un-score,2,8,,,,0.1459091373293707
Un-score,2,9,,,,0.13799746543524027
Un-score,2,10,,,,0.1456240754086341
test-score,3,,0.6397633636171561,0.34876756507717116,0.45143496086470364,
Un-score,3,3,,,,0.14223650673697472
Un-score,3,4,,,,0.14189945790501332
Un-score,3,5,,,,0.14025255320493124
Un-score,3,6,,,,0.1397897359184331
Un-score,3,7,,,,0.13644079565005923
Un-score,3,8,,,,0.14060747455239658
Un-score,3,9,,,,0.13256485622978212
Un-score,3,10,,,,0.1403720804416533
test-score,4,,0.6758524980174465,0.418590373280943,0.5169851380042463,
Un-score,4,4,,,,0.13959504078868892
Un-score,4,5,,,,0.1378889329635722
Un-score,4,6,,,,0.13731825127379524
Un-score,4,7,,,,0.13345904077758042
Un-score,4,8,,,,0.13822503555293572
Un-score,4,9,,,,0.12901820283739618
Un-score,4,10,,,,0.1381739551130302
test-score,5,,0.6752587781611529,0.4498377501352082,0.539965917390246,
Un-score,5,5,,,,0.134974504340188
Un-score,5,6,,,,0.13438725024324827
Un-score,5,7,,,,0.1315796060717429
Un-score,5,8,,,,0.1352468835939128
Un-score,5,9,,,,0.12828696067402007
Un-score,5,10,,,,0.135204060398704
test-score,6,,0.7049808429118773,0.43430369787568845,0.5374878286270691,
Un-score,6,6,,,,0.13351859495333596
Un-score,6,7,,,,0.13028860820285093
Un-score,6,8,,,,0.13450686228424338
Un-score,6,9,,,,0.12698342932270923
Un-score,6,10,,,,0.1343857862420488
test-score,7,,0.722,0.5502000381024957,0.6244999459401016,
Un-score,7,7,,,,0.12086069152481543
Un-score,7,8,,,,0.12833521775639653
Un-score,7,9,,,,0.11511973685142585
Un-score,7,10,,,,0.127849849494141
test-score,8,,0.6566645609602021,0.6161825726141079,0.6357798165137615,
Un-score,8,8,,,,0.14071418419715417
Un-score,8,9,,,,0.12309615719681741
Un-score,8,10,,,,0.14031179924067885
test-score,9,,0.6913785922532278,0.6100698272693863,0.6481843030066381,
Un-score,9,9,,,,0.11504046408565685
Un-score,9,10,,,,0.12893539510377894
test-score,10,,0.9501039501039501,0.7934027777777778,0.8647114474929045,
Un-score,10,10,,,,0.0968369400745669
