,Presicion,Recall,F1-score,data/ws/ws-001.txt,data/ws/ws-002.txt,data/ws/ws-004.txt,data/ws/ws-005.txt,data/ws/ws-006.txt,data/ws/ws-007.txt,data/ws/ws-008.txt,data/ws/ws-009.txt,data/ws/ws-010.txt,data/ws/ws-011.txt,data/ws/ws-012.txt
1,0.6689774696707106,0.349925828251195,0.459498944862291,,0.1491509738610744,0.15630433949326428,0.1583735149415271,0.15807214383722576,0.1571447877001057,0.1569165324986938,0.15360909747251508,0.15740172357225504,0.15007835673280862,0.15726386688472802
2,0.650285293576293,0.357917130989768,0.46170935703084165,,,0.1446750393118381,0.14682252684245048,0.14724366732289854,0.14554710962008297,0.1452146616068369,0.1419795755961994,0.1459091373293707,0.13799746543524027,0.1456240754086341
3,0.6397633636171561,0.34876756507717116,0.45143496086470364,,,,0.14223650673697472,0.14189945790501332,0.14025255320493124,0.1397897359184331,0.13644079565005923,0.14060747455239658,0.13256485622978212,0.1403720804416533
4,0.6758524980174465,0.418590373280943,0.5169851380042463,,,,,0.13959504078868892,0.1378889329635722,0.13731825127379524,0.13345904077758042,0.13822503555293572,0.12901820283739618,0.1381739551130302
5,0.6752587781611529,0.4498377501352082,0.539965917390246,,,,,,0.134974504340188,0.13438725024324827,0.1315796060717429,0.1352468835939128,0.12828696067402007,0.135204060398704
6,0.7049808429118773,0.43430369787568845,0.5374878286270691,,,,,,,0.13351859495333596,0.13028860820285093,0.13450686228424338,0.12698342932270923,0.1343857862420488
7,0.722,0.5502000381024957,0.6244999459401016,,,,,,,,0.12086069152481543,0.12833521775639653,0.11511973685142585,0.127849849494141
8,0.6566645609602021,0.6161825726141079,0.6357798165137615,,,,,,,,,0.14071418419715417,0.12309615719681741,0.14031179924067885
9,0.6913785922532278,0.6100698272693863,0.6481843030066381,,,,,,,,,,0.11504046408565685,0.12893539510377894
10,0.9501039501039501,0.7934027777777778,0.8647114474929045,,,,,,,,,,,0.0968369400745669
Avr,0.7035265349272016,0.49291975613737415,0.5740257659732804,,0.1491509738610744,0.1504896894025512,0.1491441828403174,0.14670257746345663,0.14316157756577602,0.14119083774905722,0.13545963075653764,0.14011831485483311,0.12868729215176183,0.13449578084019642
Max,0.9501039501039501,0.7934027777777778,0.8647114474929045,,0.1491509738610744,0.15630433949326428,0.1583735149415271,0.15807214383722576,0.1571447877001057,0.1569165324986938,0.15360909747251508,0.15740172357225504,0.15007835673280862,0.15726386688472802
Slope,0.018608860436674632,0.04528928120961452,0.03753956217451985,,nan,-0.011629300181426189,-0.008068504102276192,-0.0060775518563495725,-0.005199874337634614,-0.004341240184634087,-0.004517440793146864,-0.002690028122072136,-0.0036963417929212527,-0.004198515760264433
AllTextCount,,,,21005.0,12951.0,6588.0,2664.0,4105.0,6071.0,5036.0,8378.0,2959.0,11802.0,3119.0
AllSegCount,,,,4078.0,2246.0,1180.0,462.0,674.0,1029.0,880.0,1440.0,498.0,1443.0,470.0
,,,,5.150809220205983,5.766251113089938,5.583050847457627,5.766233766233766,6.0905044510385755,5.899902818270165,5.722727272727273,5.8180555555555555,5.9417670682730925,8.17879417879418,6.636170212765958
