Type,Round,Test Part,Presicion,Recall,F1-score,U-score
test-score,1,,0.9416974169741698,0.2716627634660422,0.4216787838730998,
Un-score,1,1,,,,0.15268180931233855
Un-score,1,2,,,,0.15456703812511924
Un-score,1,3,,,,0.15332280936001272
Un-score,1,4,,,,0.15459098633375135
Un-score,1,5,,,,0.15304483732443133
Un-score,1,6,,,,0.15333813675578944
Un-score,1,7,,,,0.15250115811539822
Un-score,1,8,,,,0.15596840844952217
Un-score,1,9,,,,0.15492514986956887
test-score,2,,0.8763796909492274,0.3044478527607362,0.45190665907797384,
Un-score,2,1,,,,0.15515751920623236
Un-score,2,2,,,,0.1548494590917595
Un-score,2,3,,,,0.1553031038022311
Un-score,2,4,,,,0.15545067829137194
Un-score,2,5,,,,0.15560558616256256
Un-score,2,6,,,,0.1553947170822822
Un-score,2,7,,,,0.15502656202071158
Un-score,2,9,,,,0.15558700289136004
test-score,3,,0.8667687595712098,0.3201357466063348,0.4675753820735233,
Un-score,3,1,,,,0.15168408031085645
Un-score,3,2,,,,0.151087180505729
Un-score,3,3,,,,0.1519247761862422
Un-score,3,4,,,,0.15183151791208174
Un-score,3,6,,,,0.1520357576312592
Un-score,3,7,,,,0.1516667810523928
Un-score,3,9,,,,0.15167894380941785
test-score,4,,0.8760399334442596,0.34210526315789475,0.49205607476635516,
Un-score,4,1,,,,0.15066051654236046
Un-score,4,2,,,,0.14936463710278772
Un-score,4,3,,,,0.15033839617163547
Un-score,4,4,,,,0.15012243662771133
Un-score,4,7,,,,0.1506627143363665
Un-score,4,9,,,,0.14992414355919673
test-score,5,,0.8650646950092421,0.3525423728813559,0.5009365801445009,
Un-score,5,1,,,,0.1516764642238559
Un-score,5,2,,,,0.14996773107022895
Un-score,5,3,,,,0.15155575554784048
Un-score,5,4,,,,0.15090123929873953
Un-score,5,9,,,,0.1509078606058503
test-score,6,,0.8467995802728226,0.36253369272237196,0.5077068260459263,
Un-score,6,2,,,,0.14930172231698804
Un-score,6,3,,,,0.1506546634466565
Un-score,6,4,,,,0.1500806113276266
Un-score,6,9,,,,0.15024191595267983
test-score,7,,0.8403465346534653,0.38667425968109337,0.5296411856474259,
Un-score,7,2,,,,0.14777242284819125
Un-score,7,4,,,,0.14875151014648308
Un-score,7,9,,,,0.14880553891938073
test-score,8,,0.8391866913123844,0.38638297872340427,0.5291375291375291,
Un-score,8,2,,,,0.15019501694223805
Un-score,8,4,,,,0.15001773367189838
test-score,9,,0.8362989323843416,0.41964285714285715,0.558858501783591,
Un-score,9,4,,,,0.14971155167830696
