,Presicion,Recall,F1-score,data/sumen/sumen-01.txt,data/sumen/sumen-02.txt,data/sumen/sumen-03.txt,data/sumen/sumen-04.txt,data/sumen/sumen-05.txt,data/sumen/sumen-06.txt,data/sumen/sumen-07.txt,data/sumen/sumen-08.txt,data/sumen/sumen-10.txt,data/sumen/sumen-11.txt
1,0.9416974169741698,0.2716627634660422,0.4216787838730998,,0.15268180931233855,0.15456703812511924,0.15332280936001272,0.15459098633375135,0.15304483732443133,0.15333813675578944,0.15250115811539822,0.15596840844952217,0.15492514986956887
2,0.8763796909492274,0.3044478527607362,0.45190665907797384,,0.15515751920623236,0.1548494590917595,0.1553031038022311,0.15545067829137194,0.15560558616256256,0.1553947170822822,0.15502656202071158,,0.15558700289136004
3,0.8667687595712098,0.3201357466063348,0.4675753820735233,,0.15168408031085645,0.151087180505729,0.1519247761862422,0.15183151791208174,,0.1520357576312592,0.1516667810523928,,0.15167894380941785
4,0.8760399334442596,0.34210526315789475,0.49205607476635516,,0.15066051654236046,0.14936463710278772,0.15033839617163547,0.15012243662771133,,,0.1506627143363665,,0.14992414355919673
5,0.8650646950092421,0.3525423728813559,0.5009365801445009,,0.1516764642238559,0.14996773107022895,0.15155575554784048,0.15090123929873953,,,,,0.1509078606058503
6,0.8467995802728226,0.36253369272237196,0.5077068260459263,,,0.14930172231698804,0.1506546634466565,0.1500806113276266,,,,,0.15024191595267983
7,0.8403465346534653,0.38667425968109337,0.5296411856474259,,,0.14777242284819125,,0.14875151014648308,,,,,0.14880553891938073
8,0.8391866913123844,0.38638297872340427,0.5291375291375291,,,0.15019501694223805,,0.15001773367189838,,,,,
9,0.8362989323843416,0.41964285714285715,0.558858501783591,,,,,0.14971155167830696,,,,,
Avr,0.8653980260634581,0.34956975412689895,0.49549972472776954,,0.15237207791912874,0.15088815100038025,0.15218325075243644,0.15127314058755234,0.15432521174349695,0.1535895371564436,0.15246430388121726,0.15596840844952217,0.1517243650867792
Max,0.9416974169741698,0.41964285714285715,0.558858501783591,,0.15515751920623236,0.1548494590917595,0.1553031038022311,0.15545067829137194,0.15560558616256256,0.1553947170822822,0.15502656202071158,0.15596840844952217,0.15558700289136004
Slope,-0.010254295671279457,0.01652052013848764,0.015336564004133448,,-0.0006507692840837215,-0.000842173929723705,-0.000747690124130276,-0.0007003068885246707,0.0025607488381312327,-0.0006511895622651198,-0.0008875112305413935,nan,-0.0010650032118390154
AllTextCount,,,,3281.0,1735.0,2578.0,1915.0,2267.0,1645.0,1921.0,1725.0,3127.0,2379.0
AllSegCount,,,,648.0,352.0,505.0,381.0,464.0,296.0,366.0,343.0,632.0,472.0
,,,,5.063271604938271,4.9289772727272725,5.104950495049505,5.026246719160105,4.885775862068965,5.5574324324324325,5.248633879781421,5.029154518950437,4.947784810126582,5.040254237288136
