Type,Round,Test Part,Presicion,Recall,F1-score,U-score
test-score,1,,0.9416974169741698,0.2716627634660422,0.4216787838730998,
Un-score,1,1,,,,0.15268180931233855
Un-score,1,2,,,,0.15456703812511924
Un-score,1,3,,,,0.15332280936001272
Un-score,1,4,,,,0.15459098633375135
Un-score,1,5,,,,0.15304483732443133
Un-score,1,6,,,,0.15333813675578944
Un-score,1,7,,,,0.15250115811539822
Un-score,1,8,,,,0.15596840844952217
Un-score,1,9,,,,0.15492514986956887
test-score,2,,0.8815520762423418,0.3034208059981256,0.4514554645284992,
Un-score,2,2,,,,0.15437342154073547
Un-score,2,3,,,,0.153742632785528
Un-score,2,4,,,,0.1541738439278066
Un-score,2,5,,,,0.15349536981309841
Un-score,2,6,,,,0.15370369464688005
Un-score,2,7,,,,0.15296321591950054
Un-score,2,8,,,,0.1557723756782512
Un-score,2,9,,,,0.154575361815172
test-score,3,,0.8755395683453238,0.3331508349301944,0.4826492167360698,
Un-score,3,3,,,,0.15367663964842063
Un-score,3,4,,,,0.15370443646459234
Un-score,3,5,,,,0.15353617866657052
Un-score,3,6,,,,0.1536302652149088
Un-score,3,7,,,,0.15282203525176036
Un-score,3,8,,,,0.15615059320562133
Un-score,3,9,,,,0.15399531845022094
test-score,4,,0.8613636363636363,0.35721017907634306,0.5049966688874084,
Un-score,4,4,,,,0.1528770921829085
Un-score,4,5,,,,0.15407404812035327
Un-score,4,6,,,,0.1535422957515109
Un-score,4,7,,,,0.15293945895804992
Un-score,4,8,,,,0.15567700334362944
Un-score,4,9,,,,0.15327531539315606
test-score,5,,0.8561525129982669,0.37666793747617233,0.5231665342864708,
Un-score,5,5,,,,0.1517083204306046
Un-score,5,6,,,,0.15170068578501553
Un-score,5,7,,,,0.15067107049692843
Un-score,5,8,,,,0.15434415997468953
Un-score,5,9,,,,0.15175799265988862
test-score,6,,0.8495575221238938,0.38451268357810414,0.5294117647058824,
Un-score,6,6,,,,0.14999837569971458
Un-score,6,7,,,,0.1490484982396567
Un-score,6,8,,,,0.15232545333020475
Un-score,6,9,,,,0.1498897330365076
test-score,7,,0.845223700120919,0.3907210732252655,0.5344036697247707,
Un-score,7,7,,,,0.1468478689311074
Un-score,7,8,,,,0.1498227894636208
Un-score,7,9,,,,0.14800927797247124
test-score,8,,0.8487261146496815,0.390190336749634,0.534603811434303,
Un-score,8,8,,,,0.15014213955174036
Un-score,8,9,,,,0.1486271632217223
test-score,9,,0.8491228070175438,0.4165232358003442,0.5588914549653579,
Un-score,9,9,,,,0.1489307123672271
