,Presicion,Recall,F1-score,data/sumen/sumen-01.txt,data/sumen/sumen-02.txt,data/sumen/sumen-03.txt,data/sumen/sumen-04.txt,data/sumen/sumen-05.txt,data/sumen/sumen-06.txt,data/sumen/sumen-07.txt,data/sumen/sumen-08.txt,data/sumen/sumen-10.txt,data/sumen/sumen-11.txt
1,0.9864649681528662,0.2637853949329359,0.41626070888627575,,0.12620530899413032,0.12538869372483638,0.12668410313402167,0.12612566536948902,0.12546250497164052,0.12671880050689532,0.12597809422824172,0.12634572212858897,0.1258331935568227
2,0.9372666168782674,0.29404873477038423,0.4476547173176386,,,0.12730553561285568,0.1287150026410919,0.12816139213294392,0.12793642108321898,0.12871224905813228,0.12826165809647497,0.1282564634277592,0.127724955477393
3,0.9277478862413528,0.3304133588831098,0.48728300363342764,,,,0.12809922455090902,0.12754682084894906,0.1270644286772473,0.12801455931386002,0.12705023626583983,0.12800414682375966,0.1266841058369527
4,0.9208992506244796,0.3474709393653786,0.5045620437956204,,,,,0.1264153819248754,0.12621602491477954,0.12688943108141568,0.1260716188950773,0.12716965511426095,0.12559810020714493
5,0.9066788655077768,0.37781166603126193,0.5333692142088268,,,,,,0.12497928828654073,0.12563393365614106,0.12488841288031896,0.1271977931149429,0.1249646776271684
6,0.9163135593220338,0.38495772140631956,0.5421497963020997,,,,,,,0.12425645525043794,0.12357029502728709,0.125862701403729,0.12383736370806095
7,0.9073604060913706,0.39966461710452766,0.5549088086922779,,,,,,,,0.12257014469381368,0.1242421308901655,0.12327879443297154
8,0.9111842105263158,0.4055636896046852,0.5612968591691996,,,,,,,,,0.12376864970302706,0.12199904729316689
9,0.9037800687285223,0.45266781411359724,0.6032110091743119,,,,,,,,,,0.12142118537353895
Avr,0.9241884257858872,0.36182043735691116,0.5167440179088532,,0.12620530899413032,0.12634711466884602,0.12783277677534088,0.12706231506906435,0.12633173358668542,0.12670423814448037,0.12548435144100764,0.12635590782577916,0.12459349150146888
Max,0.9864649681528662,0.45266781411359724,0.6032110091743119,,0.12620530899413032,0.12730553561285568,0.1287150026410919,0.12816139213294392,0.12793642108321898,0.12871224905813228,0.12826165809647497,0.1282564634277592,0.127724955477393
Slope,-0.0075724578059273425,0.021101063995155416,0.021026116488850125,,nan,0.0019168418880192994,0.0007075607084436747,2.5457838216424998e-05,-0.00026868295386390243,-0.0006477657348772838,-0.0007774427902564552,-0.0005298496181703799,-0.0007232852765476599
AllTextCount,,,,3281.0,1735.0,2578.0,1915.0,2267.0,1645.0,1921.0,1725.0,3127.0,2379.0
AllSegCount,,,,648.0,352.0,505.0,381.0,464.0,296.0,366.0,343.0,632.0,472.0
,,,,5.063271604938271,4.9289772727272725,5.104950495049505,5.026246719160105,4.885775862068965,5.5574324324324325,5.248633879781421,5.029154518950437,4.947784810126582,5.040254237288136
