,Presicion,Recall,F1-score,data/ws/ws-001.txt,data/ws/ws-002.txt,data/ws/ws-004.txt,data/ws/ws-005.txt,data/ws/ws-006.txt,data/ws/ws-007.txt,data/ws/ws-008.txt,data/ws/ws-009.txt,data/ws/ws-010.txt,data/ws/ws-011.txt,data/ws/ws-012.txt
1,0.8057375197650779,0.2939673644305258,0.4307710887023731,,0.15137172089490877,0.15163711718145786,0.1583476552954841,0.1502053199844785,0.15235275616438718,0.15262293694799545,0.15300154820296022,0.15498557455121745,0.15202044965382427,0.15394016098604285
2,0.7859410430839002,0.2988961710934805,0.4330875921529426,,0.15005535835803335,0.15033717291213128,,0.14802098165059735,0.1512518464706643,0.15152856129246683,0.15228127604478914,0.15453060847278832,0.1509973648090005,0.15325774472693496
3,0.773995915588836,0.31170611349721283,0.4444299674267101,,0.15197677219960734,0.15245363757424593,,0.15000791419027584,0.15348703749074058,0.15380815703943573,0.15448646134441196,,0.15304684210028238,0.1556137262655891
4,0.8065943792874529,0.3515964116909424,0.48972188633615477,,0.12386410710548491,0.12202024179397648,,0.12354737671162361,0.1227091236516151,0.12486302741764825,0.12359490254281535,,0.12434049234611036,
5,0.7979286536248562,0.3743656192635784,0.5096281052476848,,0.12646644851415295,0.12298647942272506,,0.12425028360843995,0.12388487753416921,,0.12521956876165505,,0.12661416078711682,
6,0.7603823335530653,0.3241989881956155,0.4545812807881773,,0.1253099718282219,0.12533978987404573,,0.1243251440645894,0.12509068378312713,,0.12498829530127652,,,
7,0.7693510555121188,0.3320398177830268,0.463877430760165,,0.1253839735035763,,,0.12439250833300866,0.12476772439289967,,0.12475880807867368,,,
8,0.7566619915848527,0.2944868995633188,0.4239685658153242,,,,,0.12367481971803515,0.12401282944115426,,0.12408812795537272,,,
9,0.6941813261163735,0.2867523756288429,0.40585443037974683,,,,,0.12392450862321674,0.12759976806862625,,,,,
10,0.6607142857142857,0.24732620320855614,0.3599221789883268,,,,,0.12751375890564856,,,,,,
Avr,0.7611488503830819,0.31153359643551,0.44158425265976053,,0.13634690748628367,0.13746240645976374,0.1583476552954841,0.13198626157899138,0.13390629411082042,0.14570567067438656,0.13530237352899432,0.15475809151200287,0.14140386193926685,0.15427054399285564
Max,0.8065943792874529,0.3743656192635784,0.5096281052476848,,0.15197677219960734,0.15245363757424593,0.1583476552954841,0.1502053199844785,0.15348703749074058,0.15380815703943573,0.15448646134441196,0.15498557455121745,0.15304684210028238,0.1556137262655891
Slope,-0.013233169919075919,-0.0042406636467355735,-0.0064433910247466255,,-0.005463012104252668,-0.006970631793872822,nan,-0.0030421489572244396,-0.003929767825595728,-0.008100013284407268,-0.005081858493741148,-0.0004549660784291254,-0.007746945019630505,0.0008367826397731176
AllTextCount,,,,21005.0,12951.0,6588.0,2664.0,4105.0,6071.0,5036.0,8378.0,2959.0,11802.0,3119.0
AllSegCount,,,,4078.0,2246.0,1180.0,462.0,674.0,1029.0,880.0,1440.0,498.0,1443.0,470.0
,,,,5.150809220205983,5.766251113089938,5.583050847457627,5.766233766233766,6.0905044510385755,5.899902818270165,5.722727272727273,5.8180555555555555,5.9417670682730925,8.17879417879418,6.636170212765958
