Type,Round,Test Part,Presicion,Recall,F1-score,U-score
test-score,1,,0.8057375197650779,0.2939673644305258,0.4307710887023731,
Un-score,1,1,,,,0.15137172089490877
Un-score,1,2,,,,0.15163711718145786
Un-score,1,3,,,,0.1583476552954841
Un-score,1,4,,,,0.1502053199844785
Un-score,1,5,,,,0.15235275616438718
Un-score,1,6,,,,0.15262293694799545
Un-score,1,7,,,,0.15300154820296022
Un-score,1,8,,,,0.15498557455121745
Un-score,1,9,,,,0.15202044965382427
Un-score,1,10,,,,0.15394016098604285
test-score,2,,0.7936022253129347,0.2890284672272313,0.4237338482103074,
Un-score,2,2,,,,0.13558981443960047
Un-score,2,3,,,,0.14315922280933183
Un-score,2,4,,,,0.13368555034077806
Un-score,2,5,,,,0.13591787603466776
Un-score,2,6,,,,0.1361617059223488
Un-score,2,7,,,,0.13701911094818853
Un-score,2,8,,,,0.13954522944739992
Un-score,2,9,,,,0.13573138565969958
Un-score,2,10,,,,0.13810161822781336
test-score,3,,0.7850348763474952,0.28518774475927205,0.41838458938830686,
Un-score,3,3,,,,0.14008822199906149
Un-score,3,4,,,,0.13060990957924432
Un-score,3,5,,,,0.13301397615428828
Un-score,3,6,,,,0.13343653788092288
Un-score,3,7,,,,0.13410880922613524
Un-score,3,8,,,,0.1366909615975732
Un-score,3,9,,,,0.13282374586606716
Un-score,3,10,,,,0.1351696304672269
test-score,4,,0.7673634524612273,0.27946954813359526,0.4097209720972097,
Un-score,4,4,,,,0.13236643753618368
Un-score,4,5,,,,0.13509537337060848
Un-score,4,6,,,,0.13551241491253765
Un-score,4,7,,,,0.13639541706728192
Un-score,4,8,,,,0.13891913906910092
Un-score,4,9,,,,0.13500776146815477
Un-score,4,10,,,,0.13736020182050573
test-score,5,,0.7615033368458026,0.29313142239048134,0.42331348237820954,
Un-score,5,5,,,,0.13638363686290578
Un-score,5,6,,,,0.13655356254818468
Un-score,5,7,,,,0.13710878625958375
Un-score,5,8,,,,0.13866690772561024
Un-score,5,9,,,,0.1361917513111563
Un-score,5,10,,,,0.13734360113542388
test-score,6,,0.7563227619429947,0.2964594807238395,0.4259552340040696,
Un-score,6,6,,,,0.13498128883735497
Un-score,6,7,,,,0.13627258415622745
Un-score,6,8,,,,0.13763213900623172
Un-score,6,9,,,,0.13500008117856907
Un-score,6,10,,,,0.13609006331781978
test-score,7,,0.7525773195876289,0.3198704515145742,0.44893048128342244,
Un-score,7,7,,,,0.14298126103544392
Un-score,7,8,,,,0.14452357906891097
Un-score,7,9,,,,0.14117400215242634
Un-score,7,10,,,,0.14269495200285212
test-score,8,,0.7290400972053463,0.35566093657379966,0.4780876494023904,
Un-score,8,8,,,,0.15051232289737332
Un-score,8,9,,,,0.1465766071158615
Un-score,8,10,,,,0.14859842389605582
test-score,9,,0.7415406767458603,0.37853730246233,0.5012165450121655,
Un-score,9,9,,,,0.14677592874856982
Un-score,9,10,,,,0.14977100512143998
test-score,10,,0.9977924944812362,0.7847222222222222,0.8785228377065112,
Un-score,10,10,,,,0.12991684464452527
