Type,Round,Test Part,Presicion,Recall,F1-score,U-score
test-score,1,,0.8385845855550169,0.2851491676281523,0.42558425584255843,
Un-score,1,1,,,,0.12765271897793934
Un-score,1,2,,,,0.12777042368812183
Un-score,1,3,,,,0.13652156803991972
Un-score,1,4,,,,0.12656208797632218
Un-score,1,5,,,,0.12859046629876
Un-score,1,6,,,,0.12912364927856718
Un-score,1,7,,,,0.12906957131170416
Un-score,1,8,,,,0.1331565201512359
Un-score,1,9,,,,0.1284258664799376
Un-score,1,10,,,,0.13177224517613126
test-score,2,,0.8276370789279567,0.290272507761297,0.4298027197854817,
Un-score,2,1,,,,0.12568726542223868
Un-score,2,2,,,,0.1259295221575495
Un-score,2,4,,,,0.12282080860272851
Un-score,2,5,,,,0.12700470998337046
Un-score,2,6,,,,0.12742483485851916
Un-score,2,7,,,,0.12777782310829947
Un-score,2,8,,,,0.13213035758073643
Un-score,2,9,,,,0.12677960612162018
Un-score,2,10,,,,0.130280683239556
test-score,3,,0.8094538329659564,0.3020195558804715,0.43990416611207245,
Un-score,3,1,,,,0.12925795992012853
Un-score,3,2,,,,0.1296277177751222
Un-score,3,4,,,,0.1259278475417059
Un-score,3,5,,,,0.13059677050709914
Un-score,3,6,,,,0.13077960843582562
Un-score,3,7,,,,0.13190477938963263
Un-score,3,9,,,,0.13041928011421872
Un-score,3,10,,,,0.13413315753983793
test-score,4,,0.8450966689960401,0.34995659303559373,0.49495225102319235,
Un-score,4,1,,,,0.08617544265167225
Un-score,4,2,,,,0.0755007966141425
Un-score,4,4,,,,0.07607778318301649
Un-score,4,5,,,,0.07555033231369304
Un-score,4,6,,,,0.07677053429010813
Un-score,4,7,,,,0.0807100700757041
Un-score,4,9,,,,0.08546183598900602
test-score,5,,0.8339150668993601,0.35377591312931883,0.4967943164096343,
Un-score,5,2,,,,0.07602809437546901
Un-score,5,4,,,,0.0766694610925059
Un-score,5,5,,,,0.0761679773119275
Un-score,5,6,,,,0.07731561414321907
Un-score,5,7,,,,0.08084304360512631
Un-score,5,9,,,,0.08500230124394996
test-score,6,,0.7794452023647113,0.2876321530458131,0.4202010296641334,
Un-score,6,2,,,,0.09741986353987395
Un-score,6,4,,,,0.09632248102126365
Un-score,6,5,,,,0.09684241728835218
Un-score,6,6,,,,0.09586929954689452
Un-score,6,7,,,,0.09725050353221593
test-score,7,,0.7807389460932768,0.27023060796645704,0.4014950942220838,
Un-score,7,4,,,,0.09661737966616482
Un-score,7,5,,,,0.0969236574905978
Un-score,7,6,,,,0.09611229130791557
Un-score,7,7,,,,0.09724953539233336
test-score,8,,0.7479406919275123,0.3136442141623489,0.4419566804575323,
Un-score,8,4,,,,0.11036456460802452
Un-score,8,5,,,,0.10938286218239081
Un-score,8,6,,,,0.11038707672829241
test-score,9,,0.6911764705882353,0.2889882615986585,0.4075679936933386,
Un-score,9,4,,,,0.1129421878651502
Un-score,9,5,,,,0.11560705787340148
test-score,10,,0.6712328767123288,0.2620320855614973,0.37692307692307697,
Un-score,10,4,,,,0.10924890541244728
