,Presicion,Recall,F1-score,data/ws/ws-001.txt,data/ws/ws-002.txt,data/ws/ws-004.txt,data/ws/ws-005.txt,data/ws/ws-006.txt,data/ws/ws-007.txt,data/ws/ws-008.txt,data/ws/ws-009.txt,data/ws/ws-010.txt,data/ws/ws-011.txt,data/ws/ws-012.txt
1,0.8385845855550169,0.2851491676281523,0.42558425584255843,,0.12765271897793934,0.12777042368812183,0.13652156803991972,0.12656208797632218,0.12859046629876,0.12912364927856718,0.12906957131170416,0.1331565201512359,0.1284258664799376,0.13177224517613126
2,0.8264340626848019,0.2831526694357208,0.4217912925375387,,,0.11762475741245551,0.1268039986961089,0.1149249799213964,0.11809112116049743,0.11822972580563594,0.11902027327884619,0.12254601661419867,0.11794085757795304,0.12083258268047224
3,0.8204514363885089,0.2763188205482608,0.4134068585214545,,,,0.12475942428417114,0.11226959904424126,0.11549567652845887,0.11571704561474187,0.11657422372034859,0.1204399585644626,0.1153715552157291,0.11855283120494964
4,0.7982677733670155,0.27161100196463656,0.4053137883646358,,,,,0.11341676720672851,0.11753376808460411,0.11756829177144239,0.11877877827020328,0.12263574753589492,0.1174319274738522,0.12061785088414943
5,0.8105590062111802,0.28231476473769607,0.4187725631768953,,,,,,0.1156440644364994,0.11567824620678019,0.11664082528775803,0.11986041526719293,0.11558759045987707,0.11810245036434626
6,0.8289597000937207,0.2783634933123525,0.4167746495464719,,,,,,,0.1144616758321481,0.11588899332018644,0.11935323150371463,0.11443962826640706,0.11741606213589602
7,0.8323936442849821,0.30939226519337015,0.45111111111111113,,,,,,,,0.12222309758170644,0.12607373064807856,0.12070693278277911,0.12395279123884424
8,0.7995937711577522,0.3500296384113811,0.48690991548134405,,,,,,,,,0.1295314942157524,0.12379969579712262,0.12719406889321966
9,0.7984375,0.37559720690922455,0.5108722819295176,,,,,,,,,,0.1251420665690288,0.1284010160564206
10,0,0,0,,,,,,,,,,,0.08158515077024248
Avr,0.735368147974298,0.2711929028140795,0.3950536716511527,,0.12765271897793934,0.12269759055028867,0.1293616636733999,0.11679335853717208,0.11907101930176398,0.11846310575155261,0.11974225182439331,0.12419963931256633,0.1198717911802985,0.1188427049404672
Max,0.8385845855550169,0.37559720690922455,0.5108722819295176,,0.12765271897793934,0.12777042368812183,0.13652156803991972,0.12656208797632218,0.12859046629876,0.12912364927856718,0.12906957131170416,0.1331565201512359,0.1284258664799376,0.13177224517613126
Slope,-0.04682877108064309,-0.0087350553864387,-0.016386557802610446,,nan,-0.01014566627566632,-0.005881071877874289,-0.004209134318593615,-0.002645015680041453,-0.002260373139198918,-0.0009548349835679722,-0.00016395386702298771,0.00020199618234214035,-0.002098061786329553
AllTextCount,,,,21005.0,12951.0,6588.0,2664.0,4105.0,6071.0,5036.0,8378.0,2959.0,11802.0,3119.0
AllSegCount,,,,4078.0,2246.0,1180.0,462.0,674.0,1029.0,880.0,1440.0,498.0,1443.0,470.0
,,,,5.150809220205983,5.766251113089938,5.583050847457627,5.766233766233766,6.0905044510385755,5.899902818270165,5.722727272727273,5.8180555555555555,5.9417670682730925,8.17879417879418,6.636170212765958
