,Presicion,Recall,F1-score,data/sumen/sumen-01.txt,data/sumen/sumen-02.txt,data/sumen/sumen-03.txt,data/sumen/sumen-04.txt,data/sumen/sumen-05.txt,data/sumen/sumen-06.txt,data/sumen/sumen-07.txt,data/sumen/sumen-08.txt,data/sumen/sumen-10.txt,data/sumen/sumen-11.txt
1,0.30826000567697986,0.6936342346178411,0.42683086597668024,,0.17860175566751435,0.17932624016479365,0.17766285314540295,0.1789665281717982,0.17762215841636936,0.17770637353512236,0.17835548397711518,0.182441442840673,0.18012935045181114
2,0.38248153173526306,0.648517382413088,0.4811759127548601,,0.16839190396156348,0.16659548487596373,0.168967515441861,0.16815858194038524,0.16856289963071003,0.16906517769548762,0.16781155485745874,,0.167287238325678
3,0.4276379012108399,0.644180660104227,0.51403488506411,,0.16174609254185426,0.1594658836044699,0.16228486992616864,0.16255758322577638,0.16187508901927616,,0.1609107878045129,,0.16172481439467604
4,0.4460260972716489,0.6496199032480995,0.5289070192713462,,0.15756841926318335,0.15413068240688257,0.15814323828645493,,0.1568494508921501,,0.1567670791488177,,0.15619437912203823
5,0.4593578247035001,0.6551155115511551,0.5400442101683387,,0.15016645576515392,0.14748925522188927,,,0.14929480260522085,,0.14901206207421064,,0.14866810074242656
6,0.46792587312900924,0.6581453634085213,0.5469693813788794,,,0.1401270895815316,,,0.14034864388782536,,0.14042489400418465,,0.14233026853883188
7,0.46656534954407297,0.6513437057991514,0.5436835891381346,,,0.1409776061196148,,,0.14085662754784686,,0.13856253389396064,,
8,0.4785330948121646,0.6695869837296621,0.5581637976004175,,,,,,0.13744301300385756,,0.13496874308882445,,
9,0.5070671378091873,0.6784869976359338,0.5803842264914054,,,,,,,,0.13052110296085243,,
Avr,0.4382060906547407,0.6609589713897422,0.5244659875382414,,0.16329492543985386,0.15544460599644935,0.16676461919997188,0.16989423111265325,0.15410658562540702,0.173385775615305,0.1508149157566597,0.182441442840673,0.15938902526257698
Max,0.5070671378091873,0.6936342346178411,0.5803842264914054,,0.17860175566751435,0.17932624016479365,0.17766285314540295,0.1789665281717982,0.17762215841636936,0.17770637353512236,0.17835548397711518,0.182441442840673,0.18012935045181114
Slope,0.019718964838056015,0.00042452345953938875,0.015375614447519255,,-0.006769408450310099,-0.0064271186109636225,-0.006524149009253641,-0.008204472473010913,-0.005856182880752144,-0.008641195839634741,-0.005848410872278191,nan,-0.0071538073596368115
AllTextCount,,,,3281.0,1735.0,2578.0,1915.0,2267.0,1645.0,1921.0,1725.0,3127.0,2379.0
AllSegCount,,,,648.0,352.0,505.0,381.0,464.0,296.0,366.0,343.0,632.0,472.0
,,,,5.063271604938271,4.9289772727272725,5.104950495049505,5.026246719160105,4.885775862068965,5.5574324324324325,5.248633879781421,5.029154518950437,4.947784810126582,5.040254237288136
