Type,Round,Test Part,Presicion,Recall,F1-score,U-score
test-score,1,,0.27985547667342797,0.9399616776665957,0.43129976066038195,
Un-score,1,1,,,,0.11096346654272723
Un-score,1,2,,,,0.11065698853193746
Un-score,1,3,,,,0.1082501839011984
Un-score,1,4,,,,0.10839581952482133
Un-score,1,5,,,,0.11225244634293917
Un-score,1,6,,,,0.10816485592261181
Un-score,1,7,,,,0.11144518169038901
Un-score,1,8,,,,0.10790623506413007
Un-score,1,9,,,,0.1092443050131874
test-score,2,,0.30959484924623115,0.912520249942143,0.4623321803365188,
Un-score,2,1,,,,0.1201137147611146
Un-score,2,2,,,,0.1220856269429434
Un-score,2,3,,,,0.11881108241019679
Un-score,2,4,,,,0.12035574594774542
Un-score,2,6,,,,0.11899769153719257
Un-score,2,7,,,,0.11973380264418138
Un-score,2,8,,,,0.1195428081488201
Un-score,2,9,,,,0.12162166805427833
test-score,3,,0.3387353350566713,0.9193200215866163,0.4950595757047371,
Un-score,3,1,,,,0.11731141935589007
Un-score,3,3,,,,0.11566620890418704
Un-score,3,4,,,,0.11836838233940779
Un-score,3,6,,,,0.11575322606016983
Un-score,3,7,,,,0.11747587442231434
Un-score,3,8,,,,0.12120533762126073
Un-score,3,9,,,,0.12090429472821532
test-score,4,,0.3708100558659218,0.9089352961314618,0.5267334589822439,
Un-score,4,1,,,,0.125215641361503
Un-score,4,3,,,,0.12363952858260216
Un-score,4,4,,,,0.12341478266807422
Un-score,4,6,,,,0.1237479541719913
Un-score,4,7,,,,0.12555272850477864
Un-score,4,9,,,,0.12459836402617677
test-score,5,,0.3843950117964274,0.9131305044035228,0.541034155597723,
Un-score,5,1,,,,0.12810945241165833
Un-score,5,3,,,,0.12596428505636942
Un-score,5,4,,,,0.12532171195705147
Un-score,5,6,,,,0.12615152596780588
Un-score,5,9,,,,0.12714245444813543
test-score,6,,0.38765432098765434,0.9105848235862736,0.5438014143455044,
Un-score,6,3,,,,0.1214478756285395
Un-score,6,4,,,,0.12140756574335303
Un-score,6,6,,,,0.12181223492435374
Un-score,6,9,,,,0.12264987329923698
test-score,7,,0.3979863784424045,0.9032258064516129,0.5525179856115107,
Un-score,7,3,,,,0.12328476930910148
Un-score,7,4,,,,0.12335837085676912
Un-score,7,6,,,,0.12290357621697016
test-score,8,,0.40355086372360843,0.90625,0.5584329349269588,
Un-score,8,3,,,,0.12695207981872442
Un-score,8,6,,,,0.12656017147445595
test-score,9,,0.4051724137931034,0.9235807860262009,0.5632490013315579,
Un-score,9,6,,,,0.12369703509574691
