Type,Round,Test Part,Presicion,Recall,F1-score,U-score
test-score,1,,0.27985547667342797,0.9399616776665957,0.43129976066038195,
Un-score,1,1,,,,0.11096346654272723
Un-score,1,2,,,,0.11065698853193746
Un-score,1,3,,,,0.1082501839011984
Un-score,1,4,,,,0.10839581952482133
Un-score,1,5,,,,0.11225244634293917
Un-score,1,6,,,,0.10816485592261181
Un-score,1,7,,,,0.11144518169038901
Un-score,1,8,,,,0.10790623506413007
Un-score,1,9,,,,0.1092443050131874
test-score,2,,0.3054054054054054,0.926663542642924,0.4594029504007433,
Un-score,2,2,,,,0.11472632066551074
Un-score,2,3,,,,0.11446988631999727
Un-score,2,4,,,,0.11470206211743972
Un-score,2,5,,,,0.11603972978974067
Un-score,2,6,,,,0.11427050715721535
Un-score,2,7,,,,0.11515820788661565
Un-score,2,8,,,,0.11311642898103956
Un-score,2,9,,,,0.11447932489569845
test-score,3,,0.32947750220566613,0.9200656994251301,0.4852028295077234,
Un-score,3,3,,,,0.11944299078609323
Un-score,3,4,,,,0.12011613405212809
Un-score,3,5,,,,0.12148567767561697
Un-score,3,6,,,,0.11979255278945994
Un-score,3,7,,,,0.12161301702767291
Un-score,3,8,,,,0.12128803659373484
Un-score,3,9,,,,0.12101822873742882
test-score,4,,0.34417344173441733,0.9176877159912032,0.5005998286203941,
Un-score,4,4,,,,0.1273551333955894
Un-score,4,5,,,,0.13058099574325555
Un-score,4,6,,,,0.12815524584605256
Un-score,4,7,,,,0.12965718227400136
Un-score,4,8,,,,0.129105858174681
Un-score,4,9,,,,0.12923464295805095
test-score,5,,0.35508100147275407,0.9191765154403355,0.5122702645277808,
Un-score,5,5,,,,0.12789381460753274
Un-score,5,6,,,,0.12741695021582522
Un-score,5,7,,,,0.12750642516773122
Un-score,5,8,,,,0.12711730829757248
Un-score,5,9,,,,0.12708406312799914
test-score,6,,0.3712737127371274,0.9145527369826435,0.5281418658442559,
Un-score,6,6,,,,0.1236673617272733
Un-score,6,7,,,,0.1227595203274323
Un-score,6,8,,,,0.1252248377882715
Un-score,6,9,,,,0.12352705219528945
test-score,7,,0.38376470588235295,0.9116825041922862,0.5401556549097533,
Un-score,7,7,,,,0.1219583034074489
Un-score,7,8,,,,0.12599509616485505
Un-score,7,9,,,,0.12332195637761435
test-score,8,,0.38828295419133685,0.9121522693997072,0.5446994535519125,
Un-score,8,8,,,,0.1264500511027384
Un-score,8,9,,,,0.12346867068401315
test-score,9,,0.418167580266249,0.919104991394148,0.5748116254036598,
Un-score,9,9,,,,0.12497970879337214
