Type,Round,Test Part,Presicion,Recall,F1-score,U-score
test-score,1,,0.2541630148992112,0.8364925004120652,0.38986729147861493,
Un-score,1,1,,,,0.13154823947856817
Un-score,1,2,,,,0.1305448780205278
Un-score,1,3,,,,0.13257136932841943
Un-score,1,4,,,,0.13397283570581037
Un-score,1,5,,,,0.1315010235116733
Un-score,1,6,,,,0.13383633373422077
Un-score,1,7,,,,0.13001942267437647
Un-score,1,8,,,,0.13335384063782038
Un-score,1,9,,,,0.13213483648891042
Un-score,1,10,,,,0.1331259683033356
test-score,2,,0.27780342906393324,0.79264008431407,0.4114147653454288,
Un-score,2,1,,,,0.14768865207718326
Un-score,2,2,,,,0.14701578988462474
Un-score,2,3,,,,0.15152643556118345
Un-score,2,5,,,,0.1494286474197954
Un-score,2,6,,,,0.15301791691221608
Un-score,2,7,,,,0.14838965654748398
Un-score,2,8,,,,0.15235582525938746
Un-score,2,9,,,,0.14963801078273806
Un-score,2,10,,,,0.15177126934266028
test-score,3,,0.31160757259746513,0.7557392996108949,0.44127002158355105,
Un-score,3,1,,,,0.16631399917337528
Un-score,3,2,,,,0.16587308164740244
Un-score,3,3,,,,0.17441825248831325
Un-score,3,5,,,,0.16824514394582984
Un-score,3,7,,,,0.1689347293045453
Un-score,3,8,,,,0.17320621368246242
Un-score,3,9,,,,0.16822835616444864
Un-score,3,10,,,,0.17288638128824693
test-score,4,,0.31201467702022356,0.7506672141244097,0.44080771549125985,
Un-score,4,1,,,,0.166338094860011
Un-score,4,2,,,,0.16584278781445697
Un-score,4,5,,,,0.16855570320231508
Un-score,4,7,,,,0.16830514342441147
Un-score,4,8,,,,0.1725573903069122
Un-score,4,9,,,,0.1684066369810836
Un-score,4,10,,,,0.17252039640612965
test-score,5,,0.33296303777014746,0.7254923533942128,0.45644273699511995,
Un-score,5,1,,,,0.17133441382030046
Un-score,5,2,,,,0.17154838600163616
Un-score,5,5,,,,0.17424154527528227
Un-score,5,7,,,,0.17469668921828221
Un-score,5,9,,,,0.17348364957947313
Un-score,5,10,,,,0.17959615607402632
test-score,6,,0.3826710339286818,0.7273581581111241,0.5014983396776544,
Un-score,6,1,,,,0.1020115371442598
Un-score,6,2,,,,0.04664464623694357
Un-score,6,5,,,,0.04586636477494807
Un-score,6,7,,,,0.06967060541455702
Un-score,6,9,,,,0.0959932268897185
test-score,7,,0.374793661274348,0.72656,0.4945007078296853,
Un-score,7,2,,,,0.04950237949268342
Un-score,7,5,,,,0.04895930927402077
Un-score,7,7,,,,0.07402829569288467
Un-score,7,9,,,,0.09953648186361
test-score,8,,0.3980766428675506,0.6655298416565164,0.49817651349380004,
Un-score,8,2,,,,0.15927338856875872
Un-score,8,5,,,,0.1585490072338611
Un-score,8,7,,,,0.16010177349878763
test-score,9,,0.40871780356637416,0.6475336322869956,0.5011278847822315,
Un-score,9,2,,,,0.13919702161854497
Un-score,9,5,,,,0.13403949320990302
test-score,10,,0.38829487900956666,0.6628242074927954,0.4897090134847409,
Un-score,10,5,,,,0.13215249037574453
