Type,Round,Test Part,Presicion,Recall,F1-score,U-score
test-score,1,,0.2541630148992112,0.8364925004120652,0.38986729147861493,
Un-score,1,1,,,,0.13154823947856817
Un-score,1,2,,,,0.1305448780205278
Un-score,1,3,,,,0.13257136932841943
Un-score,1,4,,,,0.13397283570581037
Un-score,1,5,,,,0.1315010235116733
Un-score,1,6,,,,0.13383633373422077
Un-score,1,7,,,,0.13001942267437647
Un-score,1,8,,,,0.13335384063782038
Un-score,1,9,,,,0.13213483648891042
Un-score,1,10,,,,0.1331259683033356
test-score,2,,0.2603488056460369,0.7773275250734475,0.3900566809851816,
Un-score,2,2,,,,0.1591304302383518
Un-score,2,3,,,,0.15856883709850794
Un-score,2,4,,,,0.15950435899415225
Un-score,2,5,,,,0.1604352585211976
Un-score,2,6,,,,0.1614170050384885
Un-score,2,7,,,,0.1582537672881831
Un-score,2,8,,,,0.16097839406096714
Un-score,2,9,,,,0.1606727215710993
Un-score,2,10,,,,0.16014499974876584
test-score,3,,0.2574322750912055,0.7639944713199723,0.3851021830004645,
Un-score,3,3,,,,0.15996154431890655
Un-score,3,4,,,,0.15766611138157852
Un-score,3,5,,,,0.16107655092047196
Un-score,3,6,,,,0.16147320773068688
Un-score,3,7,,,,0.1587434079358309
Un-score,3,8,,,,0.1609456500213323
Un-score,3,9,,,,0.1609907997270776
Un-score,3,10,,,,0.1604889533317111
test-score,4,,0.25719260426166984,0.7617878192534381,0.38455339986363357,
Un-score,4,4,,,,0.1562195805708801
Un-score,4,5,,,,0.16110445982382737
Un-score,4,6,,,,0.16068569294218554
Un-score,4,7,,,,0.15901663470212068
Un-score,4,8,,,,0.15975010919397936
Un-score,4,9,,,,0.16094676473830263
Un-score,4,10,,,,0.15988596907250582
test-score,5,,0.2691426621825803,0.7466197944835046,0.39565793716189585,
Un-score,5,5,,,,0.16422809418929657
Un-score,5,6,,,,0.16320874944026426
Un-score,5,7,,,,0.16269062288262445
Un-score,5,8,,,,0.16131612554934616
Un-score,5,9,,,,0.16367356108895387
Un-score,5,10,,,,0.16172407440050954
test-score,6,,0.2641918967052538,0.7469708890637293,0.3903301401965218,
Un-score,6,6,,,,0.160909483303836
Un-score,6,7,,,,0.15985931271985213
Un-score,6,8,,,,0.15736364882311624
Un-score,6,9,,,,0.16103324668662974
Un-score,6,10,,,,0.15762043579072613
test-score,7,,0.27986846912678115,0.7296627929129358,0.40456321960494346,
Un-score,7,7,,,,0.16852127123959015
Un-score,7,8,,,,0.1691345049846288
Un-score,7,9,,,,0.1684715732669656
Un-score,7,10,,,,0.16926335110051266
test-score,8,,0.29111030915433656,0.7172495554238293,0.41413536407974666,
Un-score,8,8,,,,0.17634874372931877
Un-score,8,9,,,,0.1727406759266939
Un-score,8,10,,,,0.17542229214522412
test-score,9,,0.29310868245294475,0.7096655641308343,0.4148673326887958,
Un-score,9,9,,,,0.17261522255852424
Un-score,9,10,,,,0.17583196430801173
test-score,10,,0.9307432432432432,0.9565972222222222,0.9434931506849316,
Un-score,10,10,,,,0.043696561198653144
