,Presicion,Recall,F1-score,data/ws/ws-001.txt,data/ws/ws-002.txt,data/ws/ws-004.txt,data/ws/ws-005.txt,data/ws/ws-006.txt,data/ws/ws-007.txt,data/ws/ws-008.txt,data/ws/ws-009.txt,data/ws/ws-010.txt,data/ws/ws-011.txt,data/ws/ws-012.txt
1,0.2541630148992112,0.8364925004120652,0.38986729147861493,,0.13154823947856817,0.1305448780205278,0.13257136932841943,0.13397283570581037,0.1315010235116733,0.13383633373422077,0.13001942267437647,0.13335384063782038,0.13213483648891042,0.1331259683033356
2,0.2603488056460369,0.7773275250734475,0.3900566809851816,,,0.1591304302383518,0.15856883709850794,0.15950435899415225,0.1604352585211976,0.1614170050384885,0.1582537672881831,0.16097839406096714,0.1606727215710993,0.16014499974876584
3,0.2574322750912055,0.7639944713199723,0.3851021830004645,,,,0.15996154431890655,0.15766611138157852,0.16107655092047196,0.16147320773068688,0.1587434079358309,0.1609456500213323,0.1609907997270776,0.1604889533317111
4,0.25719260426166984,0.7617878192534381,0.38455339986363357,,,,,0.1562195805708801,0.16110445982382737,0.16068569294218554,0.15901663470212068,0.15975010919397936,0.16094676473830263,0.15988596907250582
5,0.2691426621825803,0.7466197944835046,0.39565793716189585,,,,,,0.16422809418929657,0.16320874944026426,0.16269062288262445,0.16131612554934616,0.16367356108895387,0.16172407440050954
6,0.2641918967052538,0.7469708890637293,0.3903301401965218,,,,,,,0.160909483303836,0.15985931271985213,0.15736364882311624,0.16103324668662974,0.15762043579072613
7,0.27986846912678115,0.7296627929129358,0.40456321960494346,,,,,,,,0.16852127123959015,0.1691345049846288,0.1684715732669656,0.16926335110051266
8,0.29111030915433656,0.7172495554238293,0.41413536407974666,,,,,,,,,0.17634874372931877,0.1727406759266939,0.17542229214522412
9,0.29310868245294475,0.7096655641308343,0.4148673326887958,,,,,,,,,,0.17261522255852424,0.17583196430801173
10,0.9307432432432432,0.9565972222222222,0.9434931506849316,,,,,,,,,,,0.043696561198653144
Avr,0.33573019627632633,0.7746368134295978,0.45126266997447295,,0.13154823947856817,0.1448376541294398,0.1503672502486113,0.1518407216631053,0.1556690773932934,0.156921745364947,0.15672920563465395,0.15989887712506365,0.16147548911701748,0.14972045693999556
Max,0.9307432432432432,0.9565972222222222,0.9434931506849316,,0.13154823947856817,0.1591304302383518,0.15996154431890655,0.15950435899415225,0.16422809418929657,0.16320874944026426,0.16852127123959015,0.17634874372931877,0.1727406759266939,0.17583196430801173
Slope,0.03969701934653519,0.0016821830652795319,0.032461665832952215,,nan,0.028585552217823995,0.013695087495243563,0.006490198698263544,0.006612334265787629,0.003998670464711489,0.00438085183949188,0.0039591058216609,0.00355289060622237,-0.0036143073362764765
AllTextCount,,,,21005.0,12951.0,6588.0,2664.0,4105.0,6071.0,5036.0,8378.0,2959.0,11802.0,3119.0
AllSegCount,,,,4078.0,2246.0,1180.0,462.0,674.0,1029.0,880.0,1440.0,498.0,1443.0,470.0
,,,,5.150809220205983,5.766251113089938,5.583050847457627,5.766233766233766,6.0905044510385755,5.899902818270165,5.722727272727273,5.8180555555555555,5.9417670682730925,8.17879417879418,6.636170212765958
