,Presicion,Recall,F1-score,data/ws/ws-001.txt,data/ws/ws-002.txt,data/ws/ws-004.txt,data/ws/ws-005.txt,data/ws/ws-006.txt,data/ws/ws-007.txt,data/ws/ws-008.txt,data/ws/ws-009.txt,data/ws/ws-010.txt,data/ws/ws-011.txt,data/ws/ws-012.txt
1,0.23000097532429534,0.9717323223998682,0.37196170286597585,,0.032926467927208984,0.032501388285826514,0.033824932218324284,0.034274231775592204,0.03182956205654714,0.03277836354905712,0.031395918544819414,0.03469451295840285,0.032447036737277175,0.03428602753379005
2,0.24352982672721663,0.9621984147722323,0.38868462255686714,,0.05114792728081688,0.050658013196325354,0.053582330222362515,0.05171350380753835,0.0511569530640212,0.05220127667911688,0.05040206224744338,,0.05133513436489622,0.05317091302507958
3,0.2439731780319729,0.9608882390569313,0.3891417786166315,,0.05423636812475741,0.05366688956655178,,0.05449725598617476,0.0543355332616546,0.055058782054148714,0.053778826163889216,,0.05434449588962918,0.05639737089289598
4,0.26597424846748935,0.9584257740908653,0.4163942670354538,,0.035741932809481985,0.009202948237050777,,0.007833228933719145,0.008513715607953089,0.008254922308829599,0.020301098774016514,,0.03317329262350403,
5,0.27187098119634356,0.9652023692003948,0.4242440677966102,,,0.011630194094309834,,0.010148301838084708,0.01064310853982275,0.010782412560622574,0.022902601128127177,,0.03461894426928244,
6,0.2676481691204228,0.9518375566370196,0.4178114986556665,,,0.07780451034408412,,0.0786777605193562,0.07756838376692708,0.07809314308997771,0.07900321898907377,,,
7,0.2625644551392231,0.9351126346718903,0.4100059047721295,,,0.08508246043873,,0.08363982920830071,0.0833811441036934,0.08412416451718371,,,,
8,0.2569607199775007,0.9468048359240069,0.40421766701076534,,,,,0.08252297494554035,0.08309342908238038,0.0830781539689731,,,,
9,0.27034040604487863,0.9552319309600863,0.4214158239143367,,,,,0.08225289484856614,,0.08342240513479719,,,,
10,0.23319892473118278,0.9278074866310161,0.3727175080558539,,,,,0.12385987530113238,,,,,,
Avr,0.2546061884760526,0.9535241564344311,0.40165948412802904,,0.043513174035566315,0.045792343451839766,0.0437036312203434,0.06094198571640049,0.050065228685374955,0.05419929154030073,0.04296395430789491,0.03469451295840285,0.04118378077691782,0.047951437150588534
Max,0.27187098119634356,0.9717323223998682,0.4242440677966102,,0.05423636812475741,0.08508246043873,0.053582330222362515,0.12385987530113238,0.0833811441036934,0.08412416451718371,0.07900321898907377,0.03469451295840285,0.05434449588962918,0.05639737089289598
Slope,0.0016178249548638817,-0.00362309184902796,0.001731529953036011,,0.0011534835490759538,0.00607141126007093,0.01975739800403823,0.00882499626253879,0.007045190105081914,0.0070529297319957855,0.0034874397563842982,nan,-0.0013818026677381657,0.011055671679552966
AllTextCount,,,,21005.0,12951.0,6588.0,2664.0,4105.0,6071.0,5036.0,8378.0,2959.0,11802.0,3119.0
AllSegCount,,,,4078.0,2246.0,1180.0,462.0,674.0,1029.0,880.0,1440.0,498.0,1443.0,470.0
,,,,5.150809220205983,5.766251113089938,5.583050847457627,5.766233766233766,6.0905044510385755,5.899902818270165,5.722727272727273,5.8180555555555555,5.9417670682730925,8.17879417879418,6.636170212765958
