Type,Round,Test Part,Presicion,Recall,F1-score,U-score
test-score,1,,0.23000097532429534,0.9717323223998682,0.37196170286597585,
Un-score,1,1,,,,0.032926467927208984
Un-score,1,2,,,,0.032501388285826514
Un-score,1,3,,,,0.033824932218324284
Un-score,1,4,,,,0.034274231775592204
Un-score,1,5,,,,0.03182956205654714
Un-score,1,6,,,,0.03277836354905712
Un-score,1,7,,,,0.031395918544819414
Un-score,1,8,,,,0.03469451295840285
Un-score,1,9,,,,0.032447036737277175
Un-score,1,10,,,,0.03428602753379005
test-score,2,,0.23727970967661755,0.9670752709958464,0.3810626322302503,
Un-score,2,2,,,,0.04594536018578164
Un-score,2,3,,,,0.0484321356592589
Un-score,2,4,,,,0.04662516955188416
Un-score,2,5,,,,0.045534898865945514
Un-score,2,6,,,,0.04625441770890211
Un-score,2,7,,,,0.045178976058545435
Un-score,2,8,,,,0.04905288598327744
Un-score,2,9,,,,0.04597699074976426
Un-score,2,10,,,,0.047932917700677154
test-score,3,,0.2374848236722478,0.9687859940105966,0.3814598970498197,
Un-score,3,3,,,,0.052668869393608646
Un-score,3,4,,,,0.051657765150695895
Un-score,3,5,,,,0.05129104404939192
Un-score,3,6,,,,0.05191151836872456
Un-score,3,7,,,,0.050925476386084634
Un-score,3,8,,,,0.05389863500194483
Un-score,3,9,,,,0.051721460042906627
Un-score,3,10,,,,0.05278148757800774
test-score,4,,0.23836154776299878,0.9681974459724951,0.38254414903939454,
Un-score,4,4,,,,0.05206624538341337
Un-score,4,5,,,,0.052352382683234375
Un-score,4,6,,,,0.05251180165660773
Un-score,4,7,,,,0.05166123132013463
Un-score,4,8,,,,0.05457546618759681
Un-score,4,9,,,,0.0522680520972778
Un-score,4,10,,,,0.05333367167005066
test-score,5,,0.2461570276418281,0.9656571119524067,0.3923098049986267,
Un-score,5,5,,,,0.058627138835036584
Un-score,5,6,,,,0.05843807583342931
Un-score,5,7,,,,0.05721160343212713
Un-score,5,8,,,,0.058608602448112626
Un-score,5,9,,,,0.05831588251006224
Un-score,5,10,,,,0.05744552595665749
test-score,6,,0.24948244367769434,0.9671125098347758,0.3966440787350759,
Un-score,6,6,,,,0.06242777782622758
Un-score,6,7,,,,0.061458677328684805
Un-score,6,8,,,,0.06501410232212015
Un-score,6,9,,,,0.06190820610590951
Un-score,6,10,,,,0.06308055374286693
test-score,7,,0.2563831926015279,0.9718041531720327,0.40572678464903555,
Un-score,7,7,,,,0.07055962201327379
Un-score,7,8,,,,0.07278490843170578
Un-score,7,9,,,,0.07099614433579647
Un-score,7,10,,,,0.07073871976509281
test-score,8,,0.25558332031860065,0.9700652045050385,0.4045735475896168,
Un-score,8,8,,,,0.08503771294728521
Un-score,8,9,,,,0.08184580549535293
Un-score,8,10,,,,0.08322351256072322
test-score,9,,0.25167016606222564,0.9691289966923925,0.399575725433745,
Un-score,9,9,,,,0.08570441163572567
Un-score,9,10,,,,0.08779782424081098
test-score,10,,0.9896907216494846,1.0,0.9948186528497409,
Un-score,10,10,,,,0.008430366236567927
