,Presicion,Recall,F1-score,data/ws/ws-001.txt,data/ws/ws-002.txt,data/ws/ws-004.txt,data/ws/ws-005.txt,data/ws/ws-006.txt,data/ws/ws-007.txt,data/ws/ws-008.txt,data/ws/ws-009.txt,data/ws/ws-010.txt,data/ws/ws-011.txt,data/ws/ws-012.txt
1,0.23000097532429534,0.9717323223998682,0.37196170286597585,,0.032926467927208984,0.032501388285826514,0.033824932218324284,0.034274231775592204,0.03182956205654714,0.03277836354905712,0.031395918544819414,0.03469451295840285,0.032447036737277175,0.03428602753379005
2,0.23727970967661755,0.9670752709958464,0.3810626322302503,,,0.04594536018578164,0.0484321356592589,0.04662516955188416,0.045534898865945514,0.04625441770890211,0.045178976058545435,0.04905288598327744,0.04597699074976426,0.047932917700677154
3,0.2374848236722478,0.9687859940105966,0.3814598970498197,,,,0.052668869393608646,0.051657765150695895,0.05129104404939192,0.05191151836872456,0.050925476386084634,0.05389863500194483,0.051721460042906627,0.05278148757800774
4,0.23836154776299878,0.9681974459724951,0.38254414903939454,,,,,0.05206624538341337,0.052352382683234375,0.05251180165660773,0.05166123132013463,0.05457546618759681,0.0522680520972778,0.05333367167005066
5,0.2461570276418281,0.9656571119524067,0.3923098049986267,,,,,,0.058627138835036584,0.05843807583342931,0.05721160343212713,0.058608602448112626,0.05831588251006224,0.05744552595665749
6,0.24948244367769434,0.9671125098347758,0.3966440787350759,,,,,,,0.06242777782622758,0.061458677328684805,0.06501410232212015,0.06190820610590951,0.06308055374286693
7,0.2563831926015279,0.9718041531720327,0.40572678464903555,,,,,,,,0.07055962201327379,0.07278490843170578,0.07099614433579647,0.07073871976509281
8,0.25558332031860065,0.9700652045050385,0.4045735475896168,,,,,,,,,0.08503771294728521,0.08184580549535293,0.08322351256072322
9,0.25167016606222564,0.9691289966923925,0.399575725433745,,,,,,,,,,0.08570441163572567,0.08779782424081098
10,0.9896907216494846,1.0,0.9948186528497409,,,,,,,,,,,0.008430366236567927
Avr,0.31920939283875205,0.9719559009535452,0.4510676975441282,,0.032926467927208984,0.039223374235804076,0.044975312423730616,0.046155852965396406,0.04792700529803111,0.05072032582382474,0.052627357869095684,0.059208353285055706,0.06013155441223031,0.05590506069852449
Max,0.9896907216494846,1.0,0.9948186528497409,,0.032926467927208984,0.04594536018578164,0.052668869393608646,0.05206624538341337,0.058627138835036584,0.06242777782622758,0.07055962201327379,0.08503771294728521,0.08570441163572567,0.08779782424081098
Slope,0.0429443863358132,0.0017421621226072742,0.03590760385177398,,nan,0.013443971899955123,0.00942196858764218,0.005840863642227523,0.006041263737426775,0.005297095115637632,0.005583451428274441,0.006052881552206666,0.006147091107082857,0.0015540223702475812
AllTextCount,,,,21005.0,12951.0,6588.0,2664.0,4105.0,6071.0,5036.0,8378.0,2959.0,11802.0,3119.0
AllSegCount,,,,4078.0,2246.0,1180.0,462.0,674.0,1029.0,880.0,1440.0,498.0,1443.0,470.0
,,,,5.150809220205983,5.766251113089938,5.583050847457627,5.766233766233766,6.0905044510385755,5.899902818270165,5.722727272727273,5.8180555555555555,5.9417670682730925,8.17879417879418,6.636170212765958
